t,frame,ang,npts,res_c,res_l,dispara,marca_humana
1.167,0,32.0,115,3.42,4.27,0,0
1.747,1,36.7,113,3.42,4.27,0,0
1.844,2,85.3,112,3.45,0.98,0,0
1.888,3,85.0,113,3.56,1.71,0,0
1.934,4,84.5,113,3.56,1.45,0,0
1.974,5,83.3,113,3.56,1.25,0,0
2.021,6,83.3,113,3.56,1.25,0,0
2.062,7,83.3,113,3.56,1.25,0,0
2.098,8,84.9,113,3.56,1.42,0,0
2.136,9,75.2,117,3.66,2.13,0,0
2.173,10,74.3,117,3.66,2.22,0,0
2.214,11,84.0,113,3.56,1.53,0,0
2.252,12,83.3,113,3.56,1.25,0,0
2.289,13,75.0,117,3.66,2.31,0,0
2.329,14,83.9,113,3.56,1.20,0,0
2.365,15,83.8,113,3.56,1.20,0,0
2.402,16,84.1,113,3.57,1.52,0,0
2.438,17,85.4,113,3.56,1.84,0,0
2.480,18,84.4,113,3.56,1.46,0,0
2.514,19,84.9,113,3.56,1.42,0,0
2.546,20,83.8,113,3.56,1.21,0,0
2.582,21,75.0,117,3.66,2.34,0,0
2.619,22,83.5,113,3.56,1.55,0,0
2.654,23,84.9,113,3.56,1.42,0,0
2.691,24,83.8,113,3.56,1.25,0,0
2.729,25,83.8,113,3.56,1.25,0,0
2.764,26,84.0,113,3.56,1.53,0,0
2.803,27,83.3,113,3.56,1.25,0,0
2.839,28,83.8,113,3.56,1.21,0,0
2.874,29,83.8,113,3.56,1.20,0,0
2.908,30,85.0,113,3.56,1.41,0,0
2.946,31,75.0,117,3.66,2.34,0,0
2.982,32,83.9,113,3.56,1.49,0,0
3.020,33,85.1,113,3.56,1.75,0,0
3.056,34,83.8,113,3.56,1.21,0,0
3.093,35,84.8,113,3.56,1.46,0,0
3.129,36,84.0,113,3.56,1.53,0,0
3.171,37,84.3,113,3.56,1.58,0,0
3.206,38,84.6,113,3.56,1.77,0,0
3.241,39,75.1,117,3.66,2.17,0,0
3.278,40,83.5,114,3.56,1.54,0,0
3.321,41,83.8,113,3.56,1.25,0,0
3.359,42,83.3,113,3.56,1.23,0,0
3.400,43,75.2,117,3.66,2.15,0,0
3.443,44,83.9,113,3.56,1.20,0,0
3.478,45,83.4,113,3.56,1.50,0,0
3.518,46,85.1,113,3.56,1.75,0,0
3.560,47,84.9,113,3.56,1.41,0,0
3.599,48,85.1,113,3.56,1.75,0,0
3.639,49,83.8,113,3.56,1.21,0,0
3.678,50,83.8,113,3.56,1.21,0,0
3.721,51,84.0,113,3.56,1.53,0,0
3.760,52,85.1,113,3.56,1.75,0,0
3.801,53,84.9,113,3.56,1.40,0,0
3.839,54,84.4,113,3.56,1.46,0,0
3.879,55,83.8,113,3.56,1.21,0,0
3.920,56,84.9,113,3.56,1.42,0,0
3.959,57,83.8,113,3.56,1.21,0,0
4.000,58,84.0,113,3.56,1.53,0,0
4.039,59,84.1,113,3.56,1.52,0,0
4.081,60,84.9,113,3.56,1.40,0,0
4.119,61,84.0,113,3.56,1.53,0,0
4.159,62,74.6,117,3.66,2.03,0,0
4.201,63,83.9,113,3.56,1.49,0,0
4.240,64,84.1,113,3.56,1.52,0,0
4.281,65,85.1,113,3.56,1.69,0,0
4.322,66,83.5,113,3.56,1.55,0,0
4.359,67,84.4,113,3.56,1.46,0,0
4.404,68,85.1,113,3.56,1.75,0,0
4.443,69,83.9,113,3.56,1.18,0,0
4.479,70,83.8,113,3.56,1.21,0,0
4.524,71,83.5,113,3.56,1.55,0,0
4.560,72,84.1,113,3.56,1.47,0,0
4.599,73,83.9,113,3.56,1.49,0,0
4.639,74,83.8,113,3.56,1.21,0,0
4.679,75,84.9,113,3.56,1.41,0,0
4.719,76,83.4,113,3.56,1.24,0,0
4.760,77,84.4,113,3.56,1.46,0,0
4.799,78,84.6,113,3.56,1.77,0,0
4.839,79,85.1,113,3.56,1.75,0,0
4.880,80,83.3,113,3.56,1.25,0,0
4.919,81,83.8,113,3.58,1.20,0,0
4.959,82,84.9,113,3.56,1.40,0,0
4.999,83,83.9,113,3.56,1.20,0,0
5.039,84,84.5,113,3.56,1.45,0,0
5.080,85,83.9,113,3.56,1.20,0,0
5.119,86,83.9,113,3.56,1.49,0,0
5.161,87,84.5,113,3.56,1.72,0,0
5.199,88,84.8,113,3.56,1.46,0,0
5.239,89,74.3,117,3.66,2.22,0,0
5.280,90,83.8,113,3.56,1.20,0,0
5.319,91,83.5,113,3.56,1.55,0,0
5.360,92,83.8,113,3.56,1.21,0,0
5.404,93,74.3,117,3.66,2.22,0,0
5.439,94,75.2,117,3.66,2.13,0,0
5.484,95,83.8,113,3.56,1.21,0,0
5.522,96,75.0,117,3.66,2.34,0,0
5.559,97,83.3,113,3.56,1.25,0,0
5.601,98,75.2,117,3.66,2.13,0,0
5.639,99,84.2,113,3.56,1.45,0,0
5.680,100,84.0,113,3.56,1.53,0,0
5.721,101,83.8,113,3.56,1.21,0,0
5.759,102,75.1,117,3.66,2.36,0,0
5.800,103,83.8,113,3.56,1.20,0,0
5.839,104,84.9,113,3.56,1.42,0,0
5.879,105,85.2,113,3.56,0.91,0,0
5.923,106,83.8,113,3.56,1.21,0,0
5.959,107,83.9,113,3.56,1.49,0,0
5.999,108,83.3,113,3.56,1.29,0,0
6.041,109,83.3,113,3.56,1.25,0,0
6.080,110,83.8,113,3.56,1.21,0,0
6.120,111,84.6,113,3.56,1.77,0,0
6.159,112,83.1,114,3.56,1.27,0,0
6.203,113,83.9,113,3.56,1.49,0,0
6.239,114,85.0,113,3.56,1.71,0,0
6.281,115,83.8,113,3.56,1.20,0,0
6.319,116,74.3,117,3.66,2.22,0,0
6.359,117,77.7,116,3.66,2.07,0,0
6.408,118,83.3,113,3.56,1.31,0,0
6.443,119,75.0,117,3.66,2.34,0,0
6.478,120,83.9,113,3.56,1.20,0,0
6.522,121,84.9,113,3.56,1.41,0,0
6.559,122,85.1,113,3.56,1.75,0,0
6.599,123,83.3,113,3.56,1.29,0,0
6.641,124,84.9,113,3.56,1.76,0,0
6.679,125,85.2,113,3.56,1.74,0,0
6.719,126,83.8,113,3.56,1.20,0,0
6.760,127,84.1,113,3.56,1.52,0,0
6.799,128,84.0,113,3.56,1.53,0,0
6.840,129,84.6,113,3.56,1.77,0,0
6.879,130,83.8,113,3.56,1.21,0,0
6.920,131,84.4,113,3.56,1.46,0,0
6.961,132,84.9,113,3.56,1.41,0,0
6.999,133,83.5,113,3.56,1.55,0,0
7.040,134,85.0,113,3.56,1.71,0,0
7.080,135,84.1,113,3.56,1.52,0,0
7.119,136,84.8,113,3.56,1.85,0,0
7.160,137,83.8,113,3.56,1.55,0,0
7.201,138,83.4,113,3.56,1.24,0,0
7.239,139,83.8,113,3.56,1.20,0,0
7.282,140,75.2,117,3.66,2.15,0,0
7.319,141,83.9,113,3.56,1.18,0,0
7.361,142,84.0,113,3.56,1.53,0,0
7.400,143,85.1,113,3.56,1.75,0,0
7.447,144,74.3,117,3.66,2.22,0,0
7.481,145,83.8,113,3.56,1.20,0,0
7.520,146,75.2,117,3.66,2.15,0,0
7.559,147,83.5,113,3.56,1.55,0,0
7.602,148,83.8,113,3.56,1.55,0,0
7.640,149,83.5,113,3.56,1.55,0,0
7.679,150,84.9,113,3.56,1.42,0,0
7.721,151,74.6,117,3.66,2.03,0,0
7.759,152,83.3,113,3.56,1.25,0,0
7.800,153,83.8,113,3.56,1.21,0,0
7.839,154,84.8,113,3.56,1.46,0,0
7.880,155,85.3,113,3.56,1.73,0,0
7.920,156,84.5,113,3.56,1.72,0,0
7.959,157,84.4,113,3.56,1.46,0,0
8.001,158,84.9,113,3.56,1.42,0,0
8.039,159,83.3,113,3.56,1.25,0,0
8.079,160,83.8,113,3.56,1.20,0,0
8.122,161,84.0,113,3.56,1.53,0,0
8.162,162,84.0,113,3.56,1.53,0,0
8.199,163,84.0,113,3.56,1.47,0,0
8.239,164,84.9,113,3.56,1.42,0,0
8.281,165,83.8,113,3.56,1.21,0,0
8.319,166,83.8,113,3.56,1.21,0,0
8.359,167,83.9,113,3.56,1.20,0,0
8.406,168,83.8,113,3.56,1.25,0,0
8.440,169,83.9,113,3.56,1.20,0,0
8.480,170,84.9,113,3.56,1.42,0,0
8.519,171,83.3,113,3.56,1.25,0,0
8.560,172,84.9,113,3.56,1.43,0,0
8.601,173,83.6,113,3.56,1.22,0,0
8.639,174,83.3,113,3.56,1.23,0,0
8.682,175,84.9,113,3.56,1.40,0,0
8.719,176,84.6,113,3.56,1.77,0,0
8.762,177,84.0,113,3.56,1.53,0,0
8.800,178,85.1,113,3.56,1.69,0,0
8.839,179,83.4,113,3.56,1.50,0,0
8.880,180,83.3,113,3.56,1.25,0,0
8.920,181,83.8,113,3.56,1.20,0,0
8.959,182,83.8,113,3.56,1.21,0,0
9.004,183,84.5,113,3.56,1.72,0,0
9.039,184,84.9,113,3.56,1.40,0,0
9.082,185,75.0,117,3.66,2.34,0,0
9.120,186,84.9,113,3.56,1.41,0,0
9.159,187,84.6,113,3.56,1.77,0,0
9.200,188,83.9,113,3.56,1.20,0,0
9.240,189,83.3,113,3.56,1.29,0,0
9.281,190,83.7,113,3.58,1.21,0,0
9.320,191,83.8,113,3.56,1.21,0,0
9.360,192,83.8,113,3.56,1.21,0,0
9.405,193,83.9,113,3.56,1.20,0,0
9.440,194,84.4,113,3.56,1.44,0,0
9.483,195,74.5,117,3.66,2.01,0,0
9.520,196,83.5,113,3.56,1.55,0,0
9.559,197,82.7,114,3.56,1.32,0,0
9.602,198,84.0,113,3.56,1.47,0,0
9.640,199,84.9,113,3.56,1.42,0,0
9.682,200,85.1,113,3.56,1.75,0,0
9.719,201,83.8,113,3.56,1.25,0,0
9.761,202,85.1,113,3.56,1.75,0,0
9.802,203,83.8,113,3.56,1.21,0,0
9.840,204,83.8,113,3.56,1.21,0,0
9.880,205,83.9,113,3.56,1.49,0,0
9.920,206,83.4,113,3.56,1.24,0,0
9.960,207,83.8,113,3.56,1.21,0,0
10.001,208,83.8,113,3.56,1.21,0,0
10.040,209,75.2,117,3.66,2.15,0,0
10.081,210,83.8,113,3.56,1.21,0,0
10.122,211,84.0,113,3.56,1.55,0,0
10.160,212,84.5,113,3.56,1.45,0,0
10.199,213,83.8,113,3.56,1.21,0,0
10.243,214,82.4,113,3.56,1.57,0,0
10.280,215,84.4,113,3.56,1.46,0,0
10.320,216,82.3,113,3.56,1.53,0,0
10.359,217,83.3,113,3.56,1.25,0,0
10.407,218,82.5,114,3.56,1.02,0,0
10.440,219,83.6,113,3.56,1.53,0,0
10.480,220,83.9,113,3.56,1.20,0,0
10.520,221,83.3,113,3.56,1.25,0,0
10.560,222,84.0,113,3.56,1.53,0,0
10.600,223,75.2,117,3.66,2.15,0,0
10.642,224,69.2,117,3.66,1.94,0,0
10.680,225,84.9,113,3.56,1.42,0,0
10.720,226,83.1,113,3.56,1.25,0,0
10.760,227,85.1,113,3.56,1.75,0,0
10.800,228,84.0,113,3.56,1.53,0,0
10.840,229,84.9,113,3.56,1.42,0,0
10.880,230,83.8,113,3.56,1.21,0,0
10.924,231,83.6,112,3.45,0.94,0,0
10.960,232,83.5,113,3.56,1.55,0,0
11.000,233,83.9,113,3.56,1.18,0,0
11.040,234,85.1,113,3.56,1.75,0,0
11.080,235,84.0,113,3.56,1.53,0,0
11.120,236,74.4,117,3.66,2.03,0,0
11.161,237,83.8,113,3.56,1.21,0,0
11.201,238,74.5,117,3.66,2.01,0,0
11.240,239,84.9,113,3.56,1.41,0,0
11.280,240,84.7,113,3.56,1.49,0,0
11.321,241,84.0,113,3.56,1.53,0,0
11.362,242,83.8,113,3.56,1.25,0,0
11.404,243,74.5,117,3.66,2.01,0,0
11.441,244,74.6,117,3.66,2.06,0,0
11.480,245,85.3,113,3.56,1.33,0,0
11.519,246,75.3,117,3.66,2.16,0,0
11.562,247,85.1,113,3.56,1.75,0,0
11.600,248,85.2,113,3.56,1.74,0,0
11.639,249,84.6,113,3.56,1.44,0,0
11.681,250,75.2,117,3.66,2.42,0,0
11.720,251,84.4,113,3.56,1.46,0,0
11.760,252,84.0,113,3.56,1.53,0,0
11.801,253,82.5,114,3.56,1.08,0,0
11.840,254,74.3,117,3.66,2.22,0,0
11.880,255,83.8,113,3.56,1.20,0,0
11.921,256,84.4,113,3.56,1.46,0,0
11.960,257,84.0,113,3.56,1.47,0,0
12.000,258,83.3,113,3.56,1.25,0,0
12.040,259,83.9,113,3.56,1.49,0,0
12.080,260,83.3,113,3.56,1.23,0,0
12.122,261,84.0,113,3.56,1.53,0,0
12.160,262,83.8,113,3.56,1.21,0,0
12.200,263,83.3,113,3.56,1.25,0,0
12.240,264,83.3,113,3.56,1.25,0,0
12.281,265,74.7,117,3.66,2.37,0,0
12.323,266,84.8,113,3.56,1.46,0,0
12.360,267,84.9,113,3.56,1.42,0,0
12.401,268,84.6,113,3.56,1.77,0,0
12.442,269,83.2,114,3.56,1.56,0,0
12.480,270,84.9,113,3.56,1.45,0,0
12.519,271,74.4,117,3.68,2.01,0,0
12.560,272,83.3,113,3.56,1.25,0,0
12.601,273,83.6,113,3.56,1.21,0,0
12.640,274,85.2,113,3.56,1.74,0,0
12.680,275,85.1,113,3.56,1.75,0,0
12.720,276,74.4,117,3.66,2.03,0,0
12.761,277,83.8,113,3.56,1.21,0,0
12.801,278,84.0,113,3.56,1.47,0,0
12.840,279,83.1,113,3.56,1.25,0,0
12.880,280,85.1,113,3.56,1.75,0,0
12.920,281,83.6,113,3.56,1.53,0,0
12.961,282,83.8,113,3.56,1.21,0,0
13.001,283,74.3,117,3.66,2.22,0,0
13.040,284,83.3,113,3.56,1.25,0,0
13.080,285,84.9,113,3.56,1.42,0,0
13.120,286,84.0,113,3.56,1.47,0,0
13.160,287,84.9,113,3.56,1.41,0,0
13.200,288,83.0,112,3.45,1.35,0,0
13.242,289,83.3,113,3.56,1.25,0,0
13.280,290,75.1,117,3.66,2.19,0,0
13.321,291,74.4,117,3.66,2.03,0,0
13.360,292,83.8,113,3.56,1.21,0,0
13.405,293,84.9,113,3.56,1.42,0,0
13.440,294,84.4,113,3.56,1.46,0,0
13.482,295,83.8,113,3.56,1.21,0,0
13.520,296,75.3,117,3.66,2.45,0,0
13.563,297,85.1,113,3.56,1.75,0,0
13.600,298,79.2,112,3.45,1.51,0,0
13.640,299,84.4,113,3.56,1.46,0,0
13.680,300,83.8,113,3.56,1.21,0,0
13.727,301,75.1,117,3.66,2.17,0,0
13.760,302,84.9,113,3.56,1.42,0,0
13.800,303,83.4,113,3.56,1.24,0,0
13.840,304,83.8,113,3.56,1.21,0,0
13.880,305,84.0,113,3.56,1.53,0,0
13.922,306,85.1,113,3.56,1.75,0,0
13.961,307,84.9,113,3.56,1.42,0,0
14.001,308,83.3,113,3.56,1.29,0,0
14.040,309,83.8,113,3.56,1.21,0,0
14.081,310,83.6,113,3.56,1.23,0,0
14.120,311,84.0,113,3.56,1.53,0,0
14.162,312,74.5,117,3.66,2.01,0,0
14.201,313,85.1,113,3.56,1.75,0,0
14.240,314,75.2,117,3.66,2.15,0,0
14.280,315,84.9,113,3.56,1.42,0,0
14.322,316,75.0,117,3.66,2.31,0,0
14.361,317,84.9,113,3.56,1.41,0,0
14.402,318,83.8,113,3.56,1.21,0,0
14.449,319,84.9,113,3.56,1.42,0,0
14.488,320,83.0,113,3.56,1.67,0,0
14.535,321,74.5,117,3.66,2.01,0,0
14.568,322,83.4,113,3.56,1.30,0,0
14.604,323,84.4,113,3.56,1.46,0,0
14.643,324,83.8,113,3.56,1.25,0,0
14.680,325,83.3,113,3.56,1.25,0,0
14.721,326,84.9,113,3.56,1.40,0,0
14.760,327,84.0,113,3.56,1.53,0,0
14.801,328,84.0,113,3.56,1.53,0,0
14.843,329,74.5,117,3.66,2.01,0,0
14.880,330,75.2,117,3.66,2.15,0,0
14.922,331,83.9,113,3.56,1.20,0,0
14.963,332,83.3,113,3.56,1.25,0,0
15.001,333,75.2,117,3.66,2.15,0,0
15.042,334,83.5,113,3.56,1.55,0,0
15.081,335,84.9,113,3.56,1.42,0,0
15.121,336,75.0,117,3.66,2.34,0,0
15.164,337,84.0,113,3.56,1.53,0,0
15.201,338,84.0,113,3.56,1.53,0,0
15.241,339,83.3,113,3.56,1.23,0,0
15.281,340,84.4,113,3.56,1.46,0,0
15.322,341,83.3,113,3.56,1.25,0,0
15.362,342,83.9,113,3.56,1.20,0,0
15.404,343,74.5,117,3.66,2.01,0,0
15.443,344,84.7,112,3.45,1.29,0,0
15.482,345,84.8,113,3.56,1.46,0,0
15.523,346,83.8,113,3.56,1.21,0,0
15.561,347,84.9,113,3.56,1.42,0,0
15.601,348,83.8,113,3.56,1.25,0,0
15.643,349,85.0,113,3.56,1.71,0,0
15.681,350,83.9,113,3.56,1.18,0,0
15.721,351,83.4,113,3.56,1.50,0,0
15.761,352,83.8,113,3.56,1.25,0,0
15.802,353,83.8,113,3.56,1.21,0,0
15.844,354,84.4,113,3.56,1.46,0,0
15.881,355,83.6,113,3.56,1.53,0,0
15.920,356,83.9,113,3.56,1.24,0,0
15.961,357,84.3,113,3.56,1.61,0,0
16.002,358,83.3,113,3.56,1.25,0,0
16.041,359,84.0,113,3.56,1.53,0,0
16.081,360,83.4,113,3.56,1.50,0,0
16.121,361,84.8,113,3.56,1.85,0,0
16.161,362,83.8,113,3.56,1.64,0,0
16.201,363,84.0,113,3.56,1.53,0,0
16.243,364,83.5,113,3.56,1.55,0,0
16.281,365,83.8,113,3.56,1.25,0,0
16.321,366,75.0,117,3.66,2.34,0,0
16.362,367,75.0,117,3.66,2.34,0,0
16.406,368,83.8,113,3.56,1.21,0,0
