source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
0,0.000,HIGH,toca_abajo,66.1,0.992,36.6,31.3,-42.9,-20.2,31.3,100.1,-67.6,punto adelante de la componente
1,0.030,HIGH,toca_abajo,-1.7,-0.025,85.5,80.9,6.0,-17.7,80.9,100.1,4.0,punto adelante de la componente
2,0.060,HIGH,toca_abajo,-47.4,-0.711,109.2,106.3,29.7,-11.3,106.3,100.1,53.4,punto adelante de la componente
3,0.090,HIGH,toca_abajo,-62.3,-0.935,133.9,128.4,54.4,-21.1,128.4,100.1,67.8,punto adelante de la componente
4,0.120,HIGH,toca_abajo,-60.5,-0.908,131.3,124.0,51.8,-27.2,124.0,100.1,65.9,punto adelante de la componente
5,0.150,HIGH,toca_abajo,-60.0,-0.900,129.8,123.5,50.3,-23.9,123.5,100.1,65.6,punto adelante de la componente
6,0.180,HIGH,toca_abajo,-58.5,-0.877,127.4,120.0,47.9,-27.6,120.0,100.1,63.8,punto adelante de la componente
7,0.210,HIGH,toca_abajo,-55.9,-0.839,123.9,115.5,44.4,-30.1,115.5,100.1,61.1,punto adelante de la componente
8,0.240,HIGH,toca_abajo,-51.0,-0.765,117.3,109.9,37.8,-27.0,109.9,100.1,56.8,punto adelante de la componente
9,0.270,HIGH,toca_abajo,-46.7,-0.701,112.9,105.8,33.4,-26.1,105.8,100.1,52.9,punto adelante de la componente
10,0.300,HIGH,toca_abajo,-46.7,-0.701,112.9,105.8,33.4,-26.1,105.8,100.1,52.9,punto adelante de la componente
11,0.330,HIGH,toca_abajo,-39.1,-0.587,107.0,100.1,27.5,-25.3,100.1,100.1,46.0,punto adelante de la componente
12,0.360,HIGH,toca_abajo,-28.7,-0.430,100.5,94.0,21.0,-24.0,94.0,100.1,36.1,punto adelante de la componente
13,0.390,HIGH,toca_abajo,-11.8,-0.177,91.9,86.3,12.4,-20.8,86.3,100.1,18.9,punto adelante de la componente
14,0.420,HIGH,toca_abajo,-11.8,-0.177,91.9,86.3,12.4,-20.8,86.3,100.1,18.9,punto adelante de la componente
15,0.450,HIGH,toca_abajo,8.5,0.127,83.6,77.4,4.1,-23.2,77.4,100.1,-6.0,punto adelante de la componente
16,0.480,HIGH,toca_abajo,26.4,0.395,75.2,69.3,-4.3,-22.2,69.3,100.1,-27.1,punto adelante de la componente
17,0.511,HIGH,toca_abajo,37.8,0.567,67.9,62.9,-11.6,-19.2,62.9,100.1,-39.9,punto adelante de la componente
18,0.541,HIGH,toca_abajo,37.8,0.567,67.9,62.9,-11.6,-19.2,62.9,100.1,-39.9,punto adelante de la componente
19,0.571,HIGH,toca_abajo,43.1,0.647,63.7,59.1,-15.8,-17.5,59.1,100.1,-45.7,punto adelante de la componente
20,0.601,HIGH,toca_abajo,48.1,0.722,58.9,55.6,-20.6,-12.7,55.6,100.1,-50.2,punto adelante de la componente
21,0.631,HIGH,toca_abajo,51.2,0.768,56.8,53.7,-22.7,-12.2,53.7,100.1,-52.3,punto adelante de la componente
22,0.661,HIGH,toca_abajo,51.2,0.768,56.8,53.7,-22.7,-12.2,53.7,100.1,-52.3,punto adelante de la componente
23,0.691,HIGH,toca_abajo,52.2,0.783,55.3,52.9,-24.2,-9.4,52.9,100.1,-53.2,punto adelante de la componente
24,0.721,HIGH,toca_abajo,48.1,0.721,59.0,56.7,-20.5,-9.1,56.7,100.1,-49.0,punto adelante de la componente
25,0.751,HIGH,toca_abajo,48.1,0.721,59.0,56.7,-20.5,-9.1,56.7,100.1,-49.0,punto adelante de la componente
26,0.781,HIGH,toca_abajo,44.5,0.667,62.2,59.5,-17.3,-10.5,59.5,100.1,-45.2,punto adelante de la componente
27,0.811,HIGH,toca_abajo,40.8,0.613,64.7,61.9,-14.8,-10.9,61.9,100.1,-41.5,punto adelante de la componente
28,0.841,HIGH,toca_abajo,36.2,0.543,67.3,64.8,-12.2,-9.9,64.8,100.1,-36.5,punto adelante de la componente
29,0.871,HIGH,toca_abajo,36.2,0.543,67.3,64.8,-12.2,-9.9,64.8,100.1,-36.5,punto adelante de la componente
30,0.901,HIGH,toca_abajo,26.7,0.400,72.2,69.7,-7.3,-10.0,69.7,100.1,-26.3,punto adelante de la componente
31,0.931,HIGH,toca_abajo,16.3,0.245,77.1,74.3,-2.4,-10.9,74.3,100.1,-14.7,punto adelante de la componente
32,0.961,MEDIUM,toca_abajo,12.5,0.188,79.0,76.1,-0.5,-11.3,76.1,100.1,-9.7,punto adelante de la componente
33,0.991,MEDIUM,toca_abajo,10.2,0.153,80.3,78.1,0.8,-8.4,78.1,100.3,-3.9,punto adelante de la componente
34,1.021,MEDIUM,toca_abajo,10.2,0.153,80.3,78.1,0.8,-8.4,78.1,100.3,-3.9,punto adelante de la componente
35,1.051,MEDIUM,toca_abajo,10.3,0.154,81.1,88.0,1.6,33.1,88.0,103.9,27.9,punto adelante de la componente
36,1.081,LOW,toca_abajo,15.6,0.234,87.1,,7.6,,88.0,103.9,27.9,ultimo objetivo confiable (memoria)
37,1.111,SIN_CERCA,continuidad,20.7,0.600,69.1,69.3,-10.4,1.2,69.3,100.1,-27.1,componente visible arriba
38,1.141,HIGH,toca_abajo,19.9,0.298,71.8,71.2,-7.7,-2.3,71.2,100.1,-22.7,punto adelante de la componente
39,1.171,HIGH,toca_abajo,19.9,0.298,71.8,71.2,-7.7,-2.3,71.2,100.1,-22.7,punto adelante de la componente
40,1.201,HIGH,toca_abajo,14.0,0.210,73.8,73.7,-5.7,-0.5,73.7,100.1,-16.3,punto adelante de la componente
41,1.231,HIGH,toca_abajo,5.8,0.087,77.5,77.0,-2.0,-1.6,77.0,100.1,-7.0,punto adelante de la componente
42,1.261,HIGH,toca_abajo,-3.3,-0.049,81.3,80.6,1.8,-2.8,80.6,100.1,3.2,punto adelante de la componente
43,1.291,HIGH,toca_abajo,-9.4,-0.141,84.4,83.1,4.9,-4.8,83.1,100.1,10.4,punto adelante de la componente
44,1.321,HIGH,toca_abajo,-9.4,-0.141,84.4,83.1,4.9,-4.8,83.1,100.1,10.4,punto adelante de la componente
45,1.351,HIGH,toca_abajo,-9.9,-0.149,84.8,83.6,5.3,-4.6,83.6,100.1,11.8,punto adelante de la componente
46,1.381,HIGH,toca_abajo,-13.1,-0.197,86.6,85.3,7.1,-5.2,85.3,100.1,16.2,punto adelante de la componente
47,1.411,HIGH,toca_abajo,-13.7,-0.205,87.7,86.0,8.2,-6.5,86.0,100.1,18.1,punto adelante de la componente
48,1.441,HIGH,toca_abajo,-15.2,-0.228,88.9,87.1,9.4,-7.1,87.1,100.1,20.9,punto adelante de la componente
49,1.471,HIGH,toca_abajo,-15.2,-0.228,88.9,87.1,9.4,-7.1,87.1,100.1,20.9,punto adelante de la componente
50,1.502,HIGH,toca_abajo,-12.2,-0.184,90.0,87.3,10.5,-10.7,87.3,100.1,21.4,punto adelante de la componente
51,1.532,HIGH,toca_abajo,-1.3,-0.020,87.5,85.1,8.0,-9.6,85.1,100.1,15.6,punto adelante de la componente
52,1.562,HIGH,toca_abajo,6.3,0.094,86.8,84.2,7.3,-10.2,84.2,100.1,13.3,punto adelante de la componente
53,1.592,HIGH,toca_abajo,6.3,0.094,86.8,84.2,7.3,-10.2,84.2,100.1,13.3,punto adelante de la componente
54,1.622,HIGH,toca_abajo,14.1,0.212,86.2,83.1,6.7,-11.9,83.1,100.0,10.2,punto adelante de la componente
55,1.652,HIGH,toca_abajo,20.8,0.311,87.1,74.6,7.6,-41.6,74.6,100.4,-14.2,punto adelante de la componente
56,1.682,HIGH,toca_abajo,40.9,0.614,79.0,64.6,-0.5,-44.1,64.6,100.0,-36.8,punto adelante de la componente
57,1.712,HIGH,toca_abajo,40.9,0.614,79.0,64.6,-0.5,-44.1,64.6,100.0,-36.8,punto adelante de la componente
58,1.742,HIGH,toca_abajo,54.4,0.815,64.6,52.0,-14.9,-41.4,52.0,100.1,-54.1,punto adelante de la componente
59,1.772,HIGH,toca_abajo,56.9,0.853,61.3,48.8,-18.2,-40.9,48.8,100.1,-57.1,punto adelante de la componente
60,1.802,HIGH,toca_abajo,59.6,0.894,56.0,44.8,-23.5,-37.8,44.8,100.1,-60.2,punto adelante de la componente
61,1.832,HIGH,toca_abajo,60.6,0.909,53.5,43.0,-26.0,-36.0,43.0,100.1,-61.4,punto adelante de la componente
62,1.862,HIGH,toca_abajo,60.6,0.909,53.5,43.0,-26.0,-36.0,43.0,100.1,-61.4,punto adelante de la componente
63,1.892,HIGH,toca_abajo,61.2,0.918,51.4,42.2,-28.1,-32.5,42.2,100.1,-62.0,punto adelante de la componente
64,1.922,HIGH,toca_abajo,61.5,0.923,49.4,40.9,-30.1,-30.2,40.9,100.1,-62.7,punto adelante de la componente
65,1.952,HIGH,toca_abajo,59.9,0.899,51.2,43.2,-28.3,-28.8,43.2,100.1,-61.3,punto adelante de la componente
66,1.982,HIGH,toca_abajo,58.8,0.883,52.6,44.6,-26.9,-29.1,44.6,100.1,-60.4,punto adelante de la componente
67,2.012,HIGH,toca_abajo,58.8,0.883,52.6,44.6,-26.9,-29.1,44.6,100.1,-60.4,punto adelante de la componente
68,2.042,HIGH,toca_abajo,57.2,0.857,54.2,46.4,-25.3,-28.5,46.4,100.1,-59.0,punto adelante de la componente
69,2.072,HIGH,toca_abajo,55.5,0.832,56.5,48.5,-23.0,-29.0,48.5,100.1,-57.4,punto adelante de la componente
70,2.102,HIGH,toca_abajo,55.3,0.829,54.5,47.6,-25.0,-25.8,47.6,100.1,-58.1,punto adelante de la componente
71,2.132,HIGH,toca_abajo,55.3,0.829,54.5,47.6,-25.0,-25.8,47.6,100.1,-58.1,punto adelante de la componente
72,2.162,HIGH,toca_abajo,51.7,0.775,55.5,49.1,-24.0,-23.9,49.1,100.1,-56.8,punto adelante de la componente
73,2.192,HIGH,toca_abajo,48.4,0.726,57.4,51.0,-22.1,-24.0,51.0,100.1,-55.1,punto adelante de la componente
74,2.222,HIGH,toca_abajo,45.9,0.688,57.9,52.0,-21.6,-22.3,52.0,100.1,-54.2,punto adelante de la componente
75,2.252,HIGH,toca_abajo,41.0,0.614,60.8,55.2,-18.7,-21.4,55.2,100.1,-50.7,punto adelante de la componente
76,2.282,HIGH,toca_abajo,41.0,0.614,60.8,55.2,-18.7,-21.4,55.2,100.1,-50.7,punto adelante de la componente
77,2.312,HIGH,toca_abajo,33.3,0.500,58.1,57.2,-21.4,-3.6,57.2,100.2,-48.4,punto adelante de la componente
78,2.342,HIGH,toca_abajo,24.9,0.374,56.7,54.1,-22.8,-10.3,54.1,100.0,-51.9,punto adelante de la componente
