source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
0,0.000,HIGH,toca_abajo,-60.9,-0.914,135.3,128.7,55.8,-24.7,128.7,100.1,67.9,punto adelante de la componente
1,0.030,SIN_CERCA,continuidad,-57.5,-0.600,,157.1,,,157.1,98.8,74.7,componente visible arriba
2,0.060,SIN_CERCA,continuidad,-58.6,-0.600,,156.4,,,156.4,99.1,74.8,componente visible arriba
3,0.090,SIN_CERCA,continuidad,-58.6,-0.600,,156.4,,,156.4,99.1,74.8,componente visible arriba
4,0.120,SIN_CERCA,continuidad,-58.0,-0.600,,156.7,,,156.7,98.8,74.7,componente visible arriba
5,0.150,SIN_CERCA,continuidad,-57.4,-0.600,,156.9,,,156.9,98.7,74.6,componente visible arriba
6,0.180,SIN_CERCA,continuidad,-59.8,-0.600,158.3,154.7,78.8,-16.0,154.7,99.3,74.6,componente visible arriba
7,0.210,HIGH,toca_abajo,-62.7,-0.941,155.9,151.6,76.4,-16.7,151.6,99.6,74.2,punto adelante de la componente
8,0.240,HIGH,toca_abajo,-63.8,-0.956,153.5,148.9,74.0,-17.7,148.9,99.7,73.7,punto adelante de la componente
9,0.270,HIGH,toca_abajo,-63.8,-0.956,153.5,148.9,74.0,-17.7,148.9,99.7,73.7,punto adelante de la componente
10,0.300,HIGH,toca_abajo,-64.4,-0.966,149.7,145.1,70.2,-17.5,145.1,99.8,72.9,punto adelante de la componente
11,0.330,HIGH,toca_abajo,-64.1,-0.961,144.3,139.8,64.8,-17.4,139.8,99.8,71.5,punto adelante de la componente
12,0.360,HIGH,toca_abajo,-62.4,-0.935,137.6,130.7,58.1,-25.8,130.7,100.1,68.7,punto adelante de la componente
13,0.390,HIGH,toca_abajo,-62.4,-0.935,137.6,130.7,58.1,-25.8,130.7,100.1,68.7,punto adelante de la componente
14,0.420,HIGH,toca_abajo,-57.3,-0.860,128.7,118.2,49.2,-35.8,118.2,100.1,62.8,punto adelante de la componente
15,0.450,HIGH,toca_abajo,-46.1,-0.692,116.7,106.2,37.2,-36.0,106.2,100.1,53.3,punto adelante de la componente
16,0.480,HIGH,toca_abajo,-46.1,-0.692,116.7,106.2,37.2,-36.0,106.2,100.1,53.3,punto adelante de la componente
17,0.511,HIGH,toca_abajo,-25.8,-0.387,103.4,92.9,23.9,-35.9,92.9,100.1,34.0,punto adelante de la componente
18,0.541,HIGH,toca_abajo,6.3,0.095,89.0,79.2,9.5,-34.1,79.2,100.1,-0.8,punto adelante de la componente
19,0.571,HIGH,toca_abajo,37.8,0.566,72.9,64.4,-6.6,-30.5,64.4,100.1,-37.2,punto adelante de la componente
20,0.601,HIGH,toca_abajo,37.8,0.566,72.9,64.4,-6.6,-30.5,64.4,100.1,-37.2,punto adelante de la componente
21,0.631,HIGH,toca_abajo,50.8,0.762,61.8,54.2,-17.7,-27.8,54.2,100.1,-51.8,punto adelante de la componente
22,0.661,HIGH,toca_abajo,50.8,0.762,61.8,54.2,-17.7,-27.8,54.2,100.1,-51.8,punto adelante de la componente
23,0.691,HIGH,toca_abajo,57.0,0.855,52.2,46.9,-27.3,-20.4,46.9,100.1,-58.6,punto adelante de la componente
24,0.721,HIGH,toca_abajo,54.4,0.816,55.8,50.3,-23.7,-21.0,50.3,100.1,-55.8,punto adelante de la componente
25,0.751,HIGH,toca_abajo,52.9,0.793,56.8,51.7,-22.7,-19.5,51.7,100.1,-54.4,punto adelante de la componente
26,0.781,HIGH,toca_abajo,52.9,0.793,56.8,51.7,-22.7,-19.5,51.7,100.1,-54.4,punto adelante de la componente
27,0.811,HIGH,toca_abajo,46.5,0.698,62.8,57.7,-16.7,-19.4,57.7,100.1,-47.6,punto adelante de la componente
28,0.841,HIGH,toca_abajo,34.3,0.515,71.4,65.9,-8.1,-20.7,65.9,100.1,-34.2,punto adelante de la componente
29,0.871,HIGH,toca_abajo,34.3,0.515,71.4,65.9,-8.1,-20.7,65.9,100.1,-34.2,punto adelante de la componente
30,0.901,HIGH,toca_abajo,16.6,0.249,80.0,74.3,0.5,-21.5,74.3,100.1,-14.7,punto adelante de la componente
31,0.931,HIGH,toca_abajo,-9.3,-0.139,91.1,84.7,11.6,-23.7,84.7,100.1,14.7,punto adelante de la componente
32,0.961,HIGH,toca_abajo,-9.3,-0.139,91.1,84.7,11.6,-23.7,84.7,100.1,14.7,punto adelante de la componente
33,0.991,HIGH,toca_abajo,-21.9,-0.329,97.8,90.1,18.3,-28.0,90.1,100.1,28.2,punto adelante de la componente
34,1.021,HIGH,toca_abajo,-21.9,-0.329,97.8,90.1,18.3,-28.0,90.1,100.1,28.2,punto adelante de la componente
35,1.051,HIGH,toca_abajo,-24.9,-0.374,99.6,91.8,20.1,-28.3,91.8,100.1,31.7,punto adelante de la componente
36,1.081,HIGH,toca_abajo,-17.4,-0.261,96.1,88.5,16.6,-27.7,88.5,100.1,24.3,punto adelante de la componente
37,1.111,HIGH,toca_abajo,-17.4,-0.261,96.1,88.5,16.6,-27.7,88.5,100.1,24.3,punto adelante de la componente
38,1.141,HIGH,toca_abajo,-10.1,-0.152,94.7,84.8,15.2,-34.4,84.8,100.1,15.0,punto adelante de la componente
39,1.171,HIGH,toca_abajo,6.4,0.096,87.0,78.5,7.5,-30.6,78.5,100.1,-3.0,punto adelante de la componente
40,1.201,HIGH,toca_abajo,15.6,0.234,82.6,75.0,3.1,-27.9,75.0,100.1,-12.8,punto adelante de la componente
41,1.231,HIGH,toca_abajo,15.6,0.234,82.6,75.0,3.1,-27.9,75.0,100.1,-12.8,punto adelante de la componente
42,1.261,HIGH,toca_abajo,28.8,0.431,77.2,68.2,-2.3,-31.7,68.2,100.1,-29.5,punto adelante de la componente
43,1.291,HIGH,toca_abajo,32.2,0.483,75.8,65.2,-3.7,-35.9,65.2,100.1,-35.6,punto adelante de la componente
44,1.321,HIGH,toca_abajo,32.2,0.483,75.8,65.2,-3.7,-35.9,65.2,100.1,-35.6,punto adelante de la componente
45,1.351,HIGH,toca_abajo,33.5,0.503,75.7,64.2,-3.8,-38.4,64.2,100.1,-37.5,punto adelante de la componente
46,1.381,HIGH,toca_abajo,35.3,0.529,73.0,62.8,-6.5,-35.0,62.8,100.1,-39.9,punto adelante de la componente
47,1.411,HIGH,toca_abajo,35.3,0.529,73.0,62.8,-6.5,-35.0,62.8,100.1,-39.9,punto adelante de la componente
48,1.441,HIGH,toca_abajo,35.0,0.525,72.3,63.1,-7.2,-32.3,63.1,100.0,-39.4,punto adelante de la componente
49,1.471,HIGH,toca_abajo,31.6,0.474,73.6,64.8,-5.9,-31.2,64.8,100.1,-36.4,punto adelante de la componente
50,1.502,HIGH,toca_abajo,31.6,0.474,73.6,64.8,-5.9,-31.2,64.8,100.1,-36.4,punto adelante de la componente
51,1.532,HIGH,toca_abajo,27.3,0.409,73.1,68.5,-6.4,-17.8,68.5,100.1,-29.0,punto adelante de la componente
52,1.562,HIGH,toca_abajo,18.3,0.274,77.2,72.5,-2.3,-18.0,72.5,100.1,-19.4,punto adelante de la componente
53,1.592,HIGH,toca_abajo,18.3,0.274,77.2,72.5,-2.3,-18.0,72.5,100.1,-19.4,punto adelante de la componente
54,1.622,HIGH,toca_abajo,10.1,0.151,80.3,75.7,0.8,-17.7,75.7,100.1,-10.8,punto adelante de la componente
55,1.652,HIGH,toca_abajo,2.7,0.041,83.2,78.6,3.7,-17.8,78.6,100.1,-2.7,punto adelante de la componente
56,1.682,HIGH,toca_abajo,2.7,0.041,83.2,78.6,3.7,-17.8,78.6,100.1,-2.7,punto adelante de la componente
57,1.712,HIGH,toca_abajo,2.8,0.042,82.4,78.0,2.9,-16.9,78.0,100.1,-4.2,punto adelante de la componente
58,1.742,HIGH,toca_abajo,2.8,0.042,82.4,78.0,2.9,-16.9,78.0,100.1,-4.2,punto adelante de la componente
59,1.772,HIGH,toca_abajo,-2.8,-0.042,87.4,79.1,7.9,-29.8,79.1,100.1,-1.1,punto adelante de la componente
60,1.802,HIGH,toca_abajo,-1.0,-0.015,86.5,78.0,7.0,-30.6,78.0,100.1,-4.4,punto adelante de la componente
61,1.832,HIGH,toca_abajo,-1.0,-0.015,86.5,78.0,7.0,-30.6,78.0,100.1,-4.4,punto adelante de la componente
62,1.862,HIGH,toca_abajo,-2.2,-0.033,85.4,78.2,5.9,-26.6,78.2,100.1,-3.9,punto adelante de la componente
63,1.892,HIGH,toca_abajo,-8.4,-0.125,87.9,80.3,8.4,-27.6,80.3,100.1,2.4,punto adelante de la componente
64,1.922,HIGH,toca_abajo,-11.6,-0.173,88.2,81.4,8.7,-25.2,81.4,100.1,5.5,punto adelante de la componente
65,1.952,HIGH,toca_abajo,-11.6,-0.173,88.2,81.4,8.7,-25.2,81.4,100.1,5.5,punto adelante de la componente
66,1.982,HIGH,toca_abajo,-13.6,-0.204,88.5,82.1,9.0,-23.8,82.1,100.1,7.4,punto adelante de la componente
67,2.012,HIGH,toca_abajo,-15.6,-0.235,88.6,82.9,9.1,-21.6,82.9,100.1,9.7,punto adelante de la componente
68,2.042,HIGH,toca_abajo,-14.4,-0.215,88.3,82.3,8.8,-22.8,82.3,100.1,7.9,punto adelante de la componente
69,2.072,HIGH,toca_abajo,-14.4,-0.215,88.3,82.3,8.8,-22.8,82.3,100.1,7.9,punto adelante de la componente
70,2.102,HIGH,toca_abajo,-16.5,-0.248,88.2,82.8,8.7,-20.7,82.8,100.1,9.3,punto adelante de la componente
71,2.132,HIGH,toca_abajo,-16.5,-0.248,88.2,82.8,8.7,-20.7,82.8,100.1,9.3,punto adelante de la componente
72,2.162,HIGH,toca_abajo,-16.4,-0.246,86.7,82.3,7.2,-17.1,82.3,100.1,7.9,punto adelante de la componente
73,2.192,HIGH,toca_abajo,-20.6,-0.309,86.1,83.6,6.6,-9.8,83.6,100.1,11.7,punto adelante de la componente
74,2.222,HIGH,toca_abajo,-25.3,-0.380,85.9,85.5,6.4,-1.9,85.5,100.1,16.7,punto adelante de la componente
75,2.252,HIGH,toca_abajo,-25.3,-0.380,85.9,85.5,6.4,-1.9,85.5,100.1,16.7,punto adelante de la componente
