source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
0,0.000,MEDIUM,toca_abajo,-20.1,-0.302,148.6,101.5,69.1,-72.1,101.5,99.6,47.2,punto adelante de la componente
1,0.030,SIN_CERCA,continuidad,-31.2,-0.600,,130.2,,,130.2,79.5,51.3,componente visible arriba
2,0.060,SIN_CERCA,continuidad,-32.8,-0.600,,133.3,,,133.3,79.5,53.0,componente visible arriba
3,0.090,SIN_CERCA,continuidad,-35.2,-0.600,,136.4,,,136.4,79.5,54.5,componente visible arriba
4,0.120,SIN_CERCA,continuidad,-36.4,-0.600,,145.7,,,145.7,79.4,58.5,componente visible arriba
5,0.150,SIN_CERCA,continuidad,-36.4,-0.600,,145.7,,,145.7,79.4,58.5,componente visible arriba
6,0.180,LOW,toca_abajo,-31.7,-0.475,157.5,,78.0,,145.7,79.4,58.5,ultimo objetivo confiable (memoria)
7,0.210,LOW,toca_abajo,-24.1,-0.362,157.5,,78.0,,145.7,79.4,58.5,ultimo objetivo confiable (memoria)
8,0.240,SIN_CERCA,continuidad,-7.7,0.600,,154.9,,,154.9,80.3,62.2,componente visible arriba
9,0.270,SIN_CERCA,continuidad,-7.7,0.600,,154.9,,,154.9,80.3,62.2,componente visible arriba
10,0.300,HIGH,toca_abajo,20.5,0.308,63.0,79.9,-16.5,48.7,79.9,99.8,1.0,punto adelante de la componente
11,0.330,HIGH,toca_abajo,34.4,0.516,5.7,39.9,-73.8,66.8,39.9,99.7,-62.8,punto adelante de la componente
12,0.360,HIGH,toca_abajo,34.9,0.523,5.7,39.9,-73.8,66.8,39.9,99.7,-62.8,punto adelante de la componente
13,0.390,HIGH,toca_abajo,39.9,0.598,7.5,77.1,-72.0,78.1,77.1,99.7,-6.8,punto adelante de la componente
14,0.420,HIGH,toca_abajo,44.6,0.670,40.6,77.8,-38.9,68.7,77.8,99.8,-4.9,punto adelante de la componente
15,0.450,HIGH,toca_abajo,44.8,0.672,40.6,77.7,-38.9,68.6,77.7,99.8,-5.1,punto adelante de la componente
16,0.480,HIGH,toca_abajo,45.3,0.680,42.7,77.0,-36.8,66.5,77.0,99.6,-7.1,punto adelante de la componente
17,0.511,HIGH,toca_abajo,40.7,0.611,11.2,43.2,-68.3,64.8,43.2,99.2,-60.2,punto adelante de la componente
