source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
0,0.000,HIGH,toca_abajo,-46.2,-0.694,97.7,94.7,18.2,-11.7,94.7,99.9,37.2,punto adelante de la componente
1,0.030,HIGH,toca_abajo,69.9,1.000,4.7,4.5,-74.8,-0.7,4.5,100.0,-75.1,punto adelante de la componente
2,0.060,PERDIDA,sin_componente,42.4,0.000,,,,,,,0.0,sin objetivo
3,0.090,PERDIDA,sin_componente,0.0,0.000,,,,,,,0.0,sin objetivo
4,0.120,PERDIDA,sin_componente,-25.2,0.000,,,,,,,0.0,sin objetivo
5,0.150,PERDIDA,sin_componente,-42.2,0.000,,,,,,,0.0,sin objetivo
6,0.180,PERDIDA,sin_componente,-44.7,0.000,,,,,,,0.0,sin objetivo
7,0.210,PERDIDA,sin_componente,-49.5,0.000,,,,,,,0.0,sin objetivo
8,0.240,PERDIDA,sin_componente,-18.6,0.000,,,,,,,0.0,sin objetivo
9,0.270,SIN_CERCA,continuidad,50.7,0.600,,0.5,,,0.5,76.9,-61.4,componente visible arriba
10,0.300,SIN_CERCA,continuidad,50.7,0.600,,0.5,,,0.5,76.9,-61.4,componente visible arriba
11,0.330,SIN_CERCA,continuidad,59.9,0.600,,2.6,,,2.6,98.8,-74.6,componente visible arriba
12,0.360,HIGH,toca_abajo,66.3,0.995,9.5,11.2,-70.0,6.4,11.2,99.8,-73.5,punto adelante de la componente
13,0.390,HIGH,toca_abajo,60.6,0.909,13.6,18.6,-65.9,18.9,18.6,100.0,-71.9,punto adelante de la componente
14,0.420,HIGH,toca_abajo,55.9,0.838,29.0,29.8,-50.5,3.4,29.8,100.1,-68.2,punto adelante de la componente
15,0.450,HIGH,toca_abajo,55.9,0.838,29.0,29.8,-50.5,3.4,29.8,100.1,-68.2,punto adelante de la componente
16,0.480,HIGH,toca_abajo,62.8,0.942,37.8,38.8,-41.7,3.9,38.8,100.2,-64.0,punto adelante de la componente
17,0.511,HIGH,toca_abajo,56.9,0.853,55.3,54.0,-24.2,-5.3,54.0,100.1,-52.1,punto adelante de la componente
18,0.541,HIGH,toca_abajo,48.2,0.723,48.1,48.0,-31.4,-0.2,48.0,100.0,-57.6,punto adelante de la componente
19,0.571,HIGH,toca_abajo,31.9,0.478,58.3,57.8,-21.2,-2.1,57.8,99.9,-47.3,punto adelante de la componente
