source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
0,0.000,HIGH,toca_abajo,43.2,0.648,72.2,61.0,-7.3,-38.3,61.0,100.1,-42.9,punto adelante de la componente
1,0.030,HIGH,toca_abajo,63.4,0.951,2.0,6.8,-77.5,19.3,6.8,99.6,-74.3,punto adelante de la componente
2,0.060,SIN_CERCA,continuidad,60.3,0.600,2.1,7.6,-77.4,23.2,7.6,99.5,-74.1,componente visible arriba
3,0.090,HIGH,toca_abajo,61.1,0.916,3.0,8.8,-76.5,22.5,8.8,99.6,-73.9,punto adelante de la componente
4,0.120,HIGH,toca_abajo,61.6,0.924,4.0,9.8,-75.5,22.5,9.8,99.6,-73.7,punto adelante de la componente
5,0.150,HIGH,toca_abajo,62.4,0.936,8.3,14.6,-71.2,23.6,14.6,99.7,-72.7,punto adelante de la componente
6,0.180,HIGH,toca_abajo,62.4,0.936,8.3,14.6,-71.2,23.6,14.6,99.7,-72.7,punto adelante de la componente
7,0.210,HIGH,toca_abajo,63.4,0.951,15.8,21.1,-63.7,20.0,21.1,99.8,-71.0,punto adelante de la componente
8,0.240,HIGH,toca_abajo,63.0,0.945,20.6,25.9,-58.9,20.0,25.9,99.9,-69.5,punto adelante de la componente
9,0.270,HIGH,toca_abajo,60.6,0.909,27.6,37.5,-51.9,34.7,37.5,100.1,-64.7,punto adelante de la componente
10,0.300,HIGH,toca_abajo,60.6,0.909,27.6,37.5,-51.9,34.7,37.5,100.1,-64.7,punto adelante de la componente
11,0.330,HIGH,toca_abajo,52.4,0.786,38.5,52.4,-41.0,43.9,52.4,100.1,-53.7,punto adelante de la componente
12,0.360,HIGH,toca_abajo,29.0,0.436,54.0,68.0,-25.5,44.0,68.0,100.2,-30.2,punto adelante de la componente
13,0.390,HIGH,toca_abajo,-29.1,-0.437,79.2,90.6,-0.3,38.2,90.6,100.2,29.3,punto adelante de la componente
14,0.420,HIGH,toca_abajo,-29.1,-0.437,79.2,90.6,-0.3,38.2,90.6,100.2,29.3,punto adelante de la componente
15,0.450,HIGH,toca_abajo,-54.8,-0.822,100.3,108.7,20.8,30.1,108.7,100.2,55.7,punto adelante de la componente
16,0.480,HIGH,toca_abajo,-60.3,-0.904,111.3,116.0,31.8,18.0,116.0,100.2,61.5,punto adelante de la componente
17,0.511,HIGH,toca_abajo,-60.3,-0.904,111.3,116.0,31.8,18.0,116.0,100.2,61.5,punto adelante de la componente
18,0.541,HIGH,toca_abajo,-52.6,-0.789,101.5,106.1,22.0,17.7,106.1,100.2,53.3,punto adelante de la componente
19,0.571,HIGH,toca_abajo,-43.2,-0.648,93.0,98.7,13.5,21.6,98.7,100.1,44.0,punto adelante de la componente
20,0.601,HIGH,toca_abajo,-43.2,-0.648,93.0,98.7,13.5,21.6,98.7,100.1,44.0,punto adelante de la componente
21,0.631,HIGH,toca_abajo,-21.1,-0.317,80.8,87.2,1.3,23.9,87.2,100.1,21.2,punto adelante de la componente
22,0.661,HIGH,toca_abajo,7.6,0.113,68.8,76.7,-10.7,28.9,76.7,100.2,-7.9,punto adelante de la componente
23,0.691,HIGH,toca_abajo,23.6,0.354,62.6,70.5,-16.9,28.8,70.5,100.1,-24.3,punto adelante de la componente
24,0.721,HIGH,toca_abajo,23.6,0.354,62.6,70.5,-16.9,28.8,70.5,100.1,-24.3,punto adelante de la componente
25,0.751,HIGH,toca_abajo,40.0,0.600,53.4,61.8,-26.1,30.1,61.8,100.1,-41.6,punto adelante de la componente
26,0.781,HIGH,toca_abajo,39.8,0.598,51.9,61.9,-27.6,34.6,61.9,100.1,-41.5,punto adelante de la componente
27,0.811,HIGH,toca_abajo,39.8,0.598,51.9,61.9,-27.6,34.6,61.9,100.1,-41.5,punto adelante de la componente
28,0.841,HIGH,toca_abajo,29.9,0.449,58.2,67.3,-21.3,32.1,67.3,100.1,-31.5,punto adelante de la componente
29,0.871,HIGH,toca_abajo,14.1,0.211,65.3,74.0,-14.2,31.1,74.0,100.1,-15.4,punto adelante de la componente
30,0.901,HIGH,toca_abajo,14.1,0.211,65.3,74.0,-14.2,31.1,74.0,100.1,-15.4,punto adelante de la componente
31,0.931,HIGH,toca_abajo,-13.5,-0.203,75.8,84.1,-3.7,29.8,84.1,100.1,13.1,punto adelante de la componente
32,0.961,HIGH,toca_abajo,-38.1,-0.571,87.3,95.2,7.8,28.6,95.2,100.2,38.4,punto adelante de la componente
33,0.991,HIGH,toca_abajo,-38.1,-0.571,87.3,95.2,7.8,28.6,95.2,100.2,38.4,punto adelante de la componente
34,1.021,HIGH,toca_abajo,-52.7,-0.791,100.9,107.1,21.4,22.9,107.1,100.1,54.2,punto adelante de la componente
35,1.051,HIGH,toca_abajo,-57.3,-0.860,109.3,112.3,29.8,11.6,112.3,100.2,58.8,punto adelante de la componente
36,1.081,HIGH,toca_abajo,-50.1,-0.752,101.4,104.4,21.9,12.0,104.4,100.1,51.5,punto adelante de la componente
37,1.111,HIGH,toca_abajo,-50.1,-0.752,101.4,104.4,21.9,12.0,104.4,100.1,51.5,punto adelante de la componente
38,1.141,HIGH,toca_abajo,-35.1,-0.527,89.4,93.7,9.9,16.7,93.7,100.1,35.5,punto adelante de la componente
39,1.171,HIGH,toca_abajo,-17.1,-0.256,80.6,85.8,1.1,19.7,85.8,100.1,17.6,punto adelante de la componente
40,1.201,HIGH,toca_abajo,-17.1,-0.256,80.6,85.8,1.1,19.7,85.8,100.1,17.6,punto adelante de la componente
