source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
1330,39.940,HIGH,toca_abajo,-24.2,-0.363,65.6,85.8,-13.9,54.4,85.8,100.2,17.6,punto adelante de la componente
1331,39.970,HIGH,toca_abajo,-6.9,-0.104,57.1,77.5,-22.4,54.7,77.5,100.2,-5.9,punto adelante de la componente
1332,40.000,HIGH,toca_abajo,-6.9,-0.104,57.1,77.5,-22.4,54.7,77.5,100.2,-5.9,punto adelante de la componente
1333,40.030,HIGH,toca_abajo,9.5,0.143,49.8,69.1,-29.7,53.3,69.1,100.2,-27.6,punto adelante de la componente
1334,40.060,HIGH,toca_abajo,26.0,0.390,41.7,57.6,-37.8,48.1,57.6,100.2,-47.9,punto adelante de la componente
1335,40.090,HIGH,toca_abajo,26.0,0.390,41.7,57.6,-37.8,48.1,57.6,100.2,-47.9,punto adelante de la componente
1336,40.120,HIGH,toca_abajo,31.4,0.471,37.4,50.9,-42.1,43.2,50.9,100.1,-55.3,punto adelante de la componente
1337,40.150,HIGH,toca_abajo,31.5,0.473,35.8,48.8,-43.7,42.4,48.8,100.1,-57.1,punto adelante de la componente
1338,40.180,HIGH,toca_abajo,15.8,0.237,43.9,62.8,-35.6,53.0,62.8,100.1,-40.0,punto adelante de la componente
1339,40.210,HIGH,toca_abajo,15.8,0.237,43.9,62.8,-35.6,53.0,62.8,100.1,-40.0,punto adelante de la componente
1340,40.240,HIGH,toca_abajo,2.8,0.042,51.6,70.3,-27.9,52.2,70.3,100.1,-24.9,punto adelante de la componente
1341,40.270,HIGH,toca_abajo,-18.5,-0.277,61.9,80.4,-17.6,51.9,80.4,100.1,2.7,punto adelante de la componente
1342,40.300,HIGH,toca_abajo,-18.5,-0.277,61.9,80.4,-17.6,51.9,80.4,100.1,2.7,punto adelante de la componente
1343,40.330,HIGH,toca_abajo,-36.8,-0.552,73.9,90.8,-5.6,49.4,90.8,100.2,29.6,punto adelante de la componente
1344,40.360,HIGH,toca_abajo,-51.7,-0.775,87.2,101.3,7.7,44.2,101.3,100.2,47.7,punto adelante de la componente
1345,40.390,HIGH,toca_abajo,-51.7,-0.775,87.2,101.3,7.7,44.2,101.3,100.2,47.7,punto adelante de la componente
1346,40.420,HIGH,toca_abajo,-55.1,-0.826,92.8,104.0,13.3,37.9,104.0,100.2,51.1,punto adelante de la componente
1347,40.450,HIGH,toca_abajo,-53.5,-0.803,89.9,101.3,10.4,38.4,101.3,100.2,47.7,punto adelante de la componente
1348,40.480,HIGH,toca_abajo,-53.5,-0.803,89.9,101.3,10.4,38.4,101.3,100.2,47.7,punto adelante de la componente
1349,40.511,HIGH,toca_abajo,-45.7,-0.685,83.0,94.1,3.5,37.7,94.1,100.1,36.4,punto adelante de la componente
1350,40.541,HIGH,toca_abajo,-37.7,-0.565,75.8,87.4,-3.7,38.7,87.4,100.1,21.7,punto adelante de la componente
1351,40.571,HIGH,toca_abajo,-22.5,-0.337,65.3,77.3,-14.2,39.6,77.3,100.1,-6.4,punto adelante de la componente
1352,40.601,HIGH,toca_abajo,-22.5,-0.337,65.3,77.3,-14.2,39.6,77.3,100.1,-6.4,punto adelante de la componente
