source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
0,0.000,SIN_CERCA,mas_grande,35.8,0.600,,13.1,,,13.1,97.8,-71.5,componente visible arriba
1,0.030,LOW,toca_abajo,-57.6,-0.863,153.6,,74.1,,13.1,97.8,-71.5,ultimo objetivo confiable (memoria)
2,0.060,SIN_CERCA,continuidad,-51.5,-0.600,,147.1,,,147.1,79.4,59.0,componente visible arriba
3,0.090,SIN_CERCA,continuidad,-51.2,-0.600,,146.5,,,146.5,79.4,58.8,componente visible arriba
4,0.120,SIN_CERCA,continuidad,-52.4,-0.600,,155.9,,,155.9,97.1,73.3,componente visible arriba
5,0.150,SIN_CERCA,continuidad,-53.2,-0.600,,153.2,,,153.2,98.6,73.8,componente visible arriba
6,0.180,SIN_CERCA,continuidad,-54.2,-0.600,,151.4,,,151.4,99.0,73.7,componente visible arriba
7,0.210,SIN_CERCA,continuidad,-54.2,-0.600,,151.4,,,151.4,99.0,73.7,componente visible arriba
8,0.240,HIGH,toca_abajo,-55.1,-0.826,157.1,149.7,77.6,-24.2,149.7,99.2,73.5,punto adelante de la componente
9,0.270,HIGH,toca_abajo,-55.6,-0.834,155.3,146.7,75.8,-28.9,146.7,99.4,72.9,punto adelante de la componente
10,0.300,HIGH,toca_abajo,-56.0,-0.840,152.2,141.9,72.7,-34.7,141.9,99.5,71.9,punto adelante de la componente
11,0.330,HIGH,toca_abajo,-55.6,-0.834,147.1,136.1,67.6,-37.5,136.1,99.7,70.2,punto adelante de la componente
12,0.360,HIGH,toca_abajo,-55.6,-0.834,147.1,136.1,67.6,-37.5,136.1,99.7,70.2,punto adelante de la componente
13,0.390,HIGH,toca_abajo,-54.6,-0.820,141.6,130.6,62.1,-37.3,130.6,99.7,68.4,punto adelante de la componente
14,0.420,HIGH,toca_abajo,-54.6,-0.820,141.6,130.6,62.1,-37.3,130.6,99.7,68.4,punto adelante de la componente
15,0.450,HIGH,toca_abajo,-52.6,-0.788,136.5,125.4,57.0,-37.9,125.4,99.8,66.3,punto adelante de la componente
16,0.480,HIGH,toca_abajo,-48.8,-0.732,130.8,118.9,51.3,-39.9,118.9,100.0,63.0,punto adelante de la componente
17,0.511,HIGH,toca_abajo,-43.5,-0.653,124.8,110.2,45.3,-45.7,110.2,100.1,57.1,punto adelante de la componente
18,0.541,HIGH,toca_abajo,-43.5,-0.653,124.8,110.2,45.3,-45.7,110.2,100.1,57.1,punto adelante de la componente
19,0.571,HIGH,toca_abajo,-34.7,-0.521,119.1,100.9,39.6,-51.9,100.9,100.1,47.1,punto adelante de la componente
20,0.601,HIGH,toca_abajo,-14.4,-0.216,110.4,88.0,30.9,-57.4,88.0,100.1,23.1,punto adelante de la componente
21,0.631,HIGH,toca_abajo,18.1,0.272,95.9,74.5,16.4,-55.9,74.5,100.1,-14.1,punto adelante de la componente
22,0.661,HIGH,toca_abajo,18.1,0.272,95.9,74.5,16.4,-55.9,74.5,100.1,-14.1,punto adelante de la componente
23,0.691,HIGH,toca_abajo,44.9,0.674,79.9,59.6,0.4,-54.3,59.6,100.1,-44.9,punto adelante de la componente
24,0.721,HIGH,toca_abajo,44.9,0.674,79.9,59.6,0.4,-54.3,59.6,100.1,-44.9,punto adelante de la componente
25,0.751,HIGH,toca_abajo,57.9,0.869,64.0,46.5,-15.5,-50.3,46.5,100.0,-58.8,punto adelante de la componente
26,0.781,HIGH,toca_abajo,63.7,0.955,51.4,39.0,-28.1,-40.5,39.0,100.1,-63.9,punto adelante de la componente
27,0.811,HIGH,toca_abajo,63.7,0.955,51.4,39.0,-28.1,-40.5,39.0,100.1,-63.9,punto adelante de la componente
28,0.841,HIGH,toca_abajo,67.6,1.000,41.7,31.0,-37.8,-36.7,31.0,100.1,-67.8,punto adelante de la componente
29,0.871,HIGH,toca_abajo,68.7,1.000,36.6,29.1,-42.9,-27.5,29.1,100.2,-68.5,punto adelante de la componente
30,0.901,HIGH,toca_abajo,68.7,1.000,36.6,29.1,-42.9,-27.5,29.1,100.2,-68.5,punto adelante de la componente
31,0.931,HIGH,toca_abajo,68.1,1.000,37.3,29.6,-42.2,-28.0,29.6,100.2,-68.3,punto adelante de la componente
32,0.961,HIGH,toca_abajo,67.7,1.000,37.6,30.1,-41.9,-27.4,30.1,100.2,-68.1,punto adelante de la componente
33,0.991,HIGH,toca_abajo,66.2,0.993,40.3,32.4,-39.2,-28.8,32.4,100.1,-67.2,punto adelante de la componente
34,1.021,HIGH,toca_abajo,66.2,0.993,40.3,32.4,-39.2,-28.8,32.4,100.1,-67.2,punto adelante de la componente
35,1.051,HIGH,toca_abajo,63.5,0.953,46.1,38.0,-33.4,-29.3,38.0,100.1,-64.4,punto adelante de la componente
36,1.081,HIGH,toca_abajo,63.5,0.953,46.1,38.0,-33.4,-29.3,38.0,100.1,-64.4,punto adelante de la componente
37,1.111,HIGH,toca_abajo,60.2,0.903,51.9,43.4,-27.6,-30.6,43.4,100.1,-61.2,punto adelante de la componente
38,1.141,HIGH,toca_abajo,56.2,0.842,57.3,49.1,-22.2,-29.5,49.1,100.1,-56.8,punto adelante de la componente
39,1.171,HIGH,toca_abajo,56.2,0.842,57.3,49.1,-22.2,-29.5,49.1,100.1,-56.8,punto adelante de la componente
40,1.201,HIGH,toca_abajo,51.7,0.776,62.0,53.9,-17.5,-29.2,53.9,100.1,-52.2,punto adelante de la componente
41,1.231,HIGH,toca_abajo,46.0,0.690,66.6,59.1,-12.9,-27.4,59.1,100.1,-45.8,punto adelante de la componente
42,1.261,HIGH,toca_abajo,46.0,0.690,66.6,59.1,-12.9,-27.4,59.1,100.1,-45.8,punto adelante de la componente
43,1.291,HIGH,toca_abajo,39.5,0.593,72.1,63.7,-7.4,-29.8,63.7,100.1,-38.4,punto adelante de la componente
44,1.321,HIGH,toca_abajo,37.6,0.563,73.1,64.8,-6.4,-29.6,64.8,100.1,-36.5,punto adelante de la componente
45,1.351,HIGH,toca_abajo,37.6,0.563,73.1,64.8,-6.4,-29.6,64.8,100.1,-36.5,punto adelante de la componente
46,1.381,HIGH,toca_abajo,37.1,0.557,72.8,65.1,-6.7,-27.9,65.1,100.1,-35.9,punto adelante de la componente
47,1.411,HIGH,toca_abajo,38.7,0.581,71.1,64.0,-8.4,-26.0,64.0,100.1,-38.0,punto adelante de la componente
48,1.441,HIGH,toca_abajo,38.7,0.581,71.1,64.0,-8.4,-26.0,64.0,100.1,-38.0,punto adelante de la componente
49,1.471,HIGH,toca_abajo,37.5,0.562,71.8,64.3,-7.7,-27.3,64.3,100.1,-37.3,punto adelante de la componente
50,1.502,HIGH,toca_abajo,40.4,0.606,69.9,62.2,-9.6,-27.9,62.2,100.1,-41.0,punto adelante de la componente
51,1.532,HIGH,toca_abajo,40.4,0.606,69.9,62.2,-9.6,-27.9,62.2,100.1,-41.0,punto adelante de la componente
52,1.562,HIGH,toca_abajo,41.2,0.618,68.3,61.6,-11.2,-25.0,61.6,100.1,-42.0,punto adelante de la componente
53,1.592,HIGH,toca_abajo,43.5,0.652,66.6,59.8,-12.9,-25.4,59.8,100.1,-44.8,punto adelante de la componente
54,1.622,HIGH,toca_abajo,43.5,0.652,66.6,59.8,-12.9,-25.4,59.8,100.1,-44.8,punto adelante de la componente
55,1.652,HIGH,toca_abajo,44.3,0.664,64.9,59.2,-14.6,-21.3,59.2,100.1,-45.5,punto adelante de la componente
56,1.682,HIGH,toca_abajo,40.5,0.608,67.4,61.6,-12.1,-21.8,61.6,100.1,-42.0,punto adelante de la componente
57,1.712,HIGH,toca_abajo,40.5,0.608,67.4,61.6,-12.1,-21.8,61.6,100.1,-42.0,punto adelante de la componente
58,1.742,HIGH,toca_abajo,39.3,0.590,67.6,62.4,-11.9,-19.8,62.4,100.1,-40.8,punto adelante de la componente
59,1.772,HIGH,toca_abajo,34.2,0.512,70.6,65.3,-8.9,-20.3,65.3,100.1,-35.6,punto adelante de la componente
60,1.802,HIGH,toca_abajo,28.9,0.433,73.4,68.3,-6.1,-19.6,68.3,100.1,-29.5,punto adelante de la componente
61,1.832,HIGH,toca_abajo,28.9,0.433,73.4,68.3,-6.1,-19.6,68.3,100.1,-29.5,punto adelante de la componente
62,1.862,HIGH,toca_abajo,25.7,0.386,74.8,69.9,-4.7,-18.8,69.9,100.1,-25.9,punto adelante de la componente
63,1.892,HIGH,toca_abajo,27.8,0.417,74.5,68.9,-5.0,-21.1,68.9,100.1,-28.0,punto adelante de la componente
64,1.922,HIGH,toca_abajo,27.8,0.417,74.5,68.9,-5.0,-21.1,68.9,100.1,-28.0,punto adelante de la componente
65,1.952,HIGH,toca_abajo,30.7,0.461,71.9,67.6,-7.6,-16.4,67.6,100.1,-30.8,punto adelante de la componente
66,1.982,HIGH,toca_abajo,27.9,0.419,73.5,69.0,-6.0,-17.1,69.0,100.1,-27.7,punto adelante de la componente
67,2.012,HIGH,toca_abajo,27.9,0.419,73.5,69.0,-6.0,-17.1,69.0,100.1,-27.7,punto adelante de la componente
68,2.042,HIGH,toca_abajo,29.6,0.445,72.5,68.4,-7.0,-15.9,68.4,100.1,-29.2,punto adelante de la componente
69,2.072,HIGH,toca_abajo,29.0,0.434,72.4,68.8,-7.1,-14.1,68.8,100.1,-28.3,punto adelante de la componente
70,2.102,HIGH,toca_abajo,29.0,0.434,72.4,68.8,-7.1,-14.1,68.8,100.1,-28.3,punto adelante de la componente
71,2.132,HIGH,toca_abajo,28.1,0.421,73.0,69.5,-6.5,-13.6,69.5,100.1,-26.6,punto adelante de la componente
72,2.162,MEDIUM,toca_abajo,26.0,0.391,73.8,70.9,-5.7,-11.5,70.9,100.1,-23.4,punto adelante de la componente
73,2.192,MEDIUM,toca_abajo,26.0,0.391,73.8,70.9,-5.7,-11.5,70.9,100.1,-23.4,punto adelante de la componente
74,2.222,MEDIUM,toca_abajo,21.9,0.329,76.0,76.5,-3.5,2.6,76.5,101.8,-9.2,punto adelante de la componente
75,2.252,MEDIUM,toca_abajo,21.4,0.322,77.0,101.6,-2.5,67.7,101.6,104.5,54.9,punto adelante de la componente
