source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
0,0.000,HIGH,toca_abajo,63.6,0.954,57.3,36.7,-22.2,-54.9,36.7,100.2,-65.2,punto adelante de la componente
1,0.030,HIGH,toca_abajo,-4.2,-0.062,105.8,83.6,26.3,-57.0,83.6,100.1,11.8,punto adelante de la componente
2,0.060,HIGH,toca_abajo,-17.6,-0.264,110.2,89.0,30.7,-55.8,89.0,100.2,25.7,punto adelante de la componente
3,0.090,HIGH,toca_abajo,-22.9,-0.343,112.5,91.3,33.0,-55.9,91.3,100.1,30.8,punto adelante de la componente
4,0.120,HIGH,toca_abajo,-19.4,-0.290,111.3,89.7,31.8,-56.4,89.7,100.2,27.1,punto adelante de la componente
5,0.150,HIGH,toca_abajo,-10.0,-0.150,106.9,85.2,27.4,-56.4,85.2,100.2,16.0,punto adelante de la componente
6,0.180,HIGH,toca_abajo,14.3,0.214,96.1,75.5,16.6,-54.9,75.5,100.2,-11.4,punto adelante de la componente
7,0.210,HIGH,toca_abajo,44.4,0.666,76.4,59.5,-3.1,-49.3,59.5,100.1,-45.2,punto adelante de la componente
8,0.240,HIGH,toca_abajo,55.1,0.826,62.7,48.9,-16.8,-43.5,48.9,100.1,-57.0,punto adelante de la componente
9,0.270,HIGH,toca_abajo,55.1,0.826,62.7,48.9,-16.8,-43.5,48.9,100.1,-57.0,punto adelante de la componente
10,0.300,HIGH,toca_abajo,60.4,0.906,51.4,39.8,-28.1,-38.6,39.8,100.1,-63.4,punto adelante de la componente
11,0.330,HIGH,toca_abajo,63.6,0.954,41.7,32.1,-37.8,-33.4,32.1,100.1,-67.2,punto adelante de la componente
12,0.360,HIGH,toca_abajo,63.8,0.957,37.9,30.0,-41.6,-28.6,30.0,100.1,-68.1,punto adelante de la componente
13,0.390,HIGH,toca_abajo,63.8,0.957,37.9,30.0,-41.6,-28.6,30.0,100.1,-68.1,punto adelante de la componente
14,0.420,HIGH,toca_abajo,62.6,0.939,36.3,29.6,-43.2,-24.9,29.6,100.1,-68.3,punto adelante de la componente
15,0.450,HIGH,toca_abajo,59.8,0.897,38.4,33.6,-41.1,-18.6,33.6,100.1,-66.6,punto adelante de la componente
16,0.480,HIGH,toca_abajo,56.1,0.842,41.8,39.4,-37.7,-9.5,39.4,100.1,-63.6,punto adelante de la componente
17,0.511,HIGH,toca_abajo,56.1,0.842,41.8,39.4,-37.7,-9.5,39.4,100.1,-63.6,punto adelante de la componente
