source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
800,24.024,HIGH,toca_abajo,55.7,0.836,76.0,54.2,-3.5,-56.4,54.2,100.2,-51.9,punto adelante de la componente
801,24.054,HIGH,toca_abajo,66.9,1.000,60.6,41.0,-18.9,-53.3,41.0,100.0,-62.6,punto adelante de la componente
802,24.084,HIGH,toca_abajo,73.9,1.000,46.7,30.3,-32.8,-48.7,30.3,100.2,-68.1,punto adelante de la componente
803,24.114,HIGH,toca_abajo,73.9,1.000,46.7,30.3,-32.8,-48.7,30.3,100.2,-68.1,punto adelante de la componente
804,24.144,HIGH,toca_abajo,77.7,1.000,36.1,25.9,-43.4,-35.2,25.9,100.2,-69.8,punto adelante de la componente
805,24.174,MEDIUM,toca_abajo,80.3,1.000,29.1,20.9,-50.4,-29.7,20.9,100.2,-71.4,punto adelante de la componente
806,24.204,MEDIUM,toca_abajo,80.3,1.000,29.1,20.9,-50.4,-29.7,20.9,100.2,-71.4,punto adelante de la componente
807,24.234,MEDIUM,toca_abajo,82.4,1.000,24.0,16.1,-55.5,-29.2,16.1,100.7,-73.0,punto adelante de la componente
808,24.264,MEDIUM,toca_abajo,83.3,1.000,22.9,14.7,-56.6,-31.9,14.7,101.5,-74.1,punto adelante de la componente
809,24.294,MEDIUM,toca_abajo,83.3,1.000,22.9,14.7,-56.6,-31.9,14.7,101.5,-74.1,punto adelante de la componente
810,24.324,MEDIUM,toca_abajo,84.4,1.000,22.6,10.6,-56.9,-44.7,10.6,102.6,-75.8,punto adelante de la componente
811,24.354,MEDIUM,toca_abajo,84.7,1.000,25.2,8.6,-54.3,-54.4,8.6,102.7,-76.3,punto adelante de la componente
812,24.384,MEDIUM,toca_abajo,84.7,1.000,25.2,8.6,-54.3,-54.4,8.6,102.7,-76.3,punto adelante de la componente
813,24.414,MEDIUM,toca_abajo,84.8,1.000,27.9,8.1,-51.6,-59.0,8.1,102.7,-76.4,punto adelante de la componente
814,24.444,MEDIUM,toca_abajo,85.1,1.000,29.4,6.9,-50.1,-61.7,6.9,102.8,-76.7,punto adelante de la componente
815,24.474,MEDIUM,toca_abajo,85.1,1.000,29.4,6.9,-50.1,-61.7,6.9,102.8,-76.7,punto adelante de la componente
816,24.505,MEDIUM,toca_abajo,85.2,1.000,29.9,6.8,-49.6,-61.8,6.8,102.7,-76.6,punto adelante de la componente
817,24.535,MEDIUM,toca_abajo,85.6,1.000,26.6,6.0,-52.9,-59.2,6.0,102.9,-76.9,punto adelante de la componente
818,24.565,MEDIUM,toca_abajo,85.6,1.000,26.6,6.0,-52.9,-59.2,6.0,102.9,-76.9,punto adelante de la componente
819,24.595,MEDIUM,toca_abajo,86.0,1.000,21.5,4.7,-58.0,-54.9,4.7,103.4,-77.5,punto adelante de la componente
820,24.625,MEDIUM,toca_abajo,86.2,1.000,19.0,4.0,-60.5,-52.8,4.0,103.7,-77.8,punto adelante de la componente
821,24.655,MEDIUM,toca_abajo,86.3,1.000,18.4,3.8,-61.1,-52.0,3.8,103.7,-77.9,punto adelante de la componente
822,24.685,MEDIUM,toca_abajo,86.3,1.000,18.4,3.8,-61.1,-52.0,3.8,103.7,-77.9,punto adelante de la componente
823,24.715,MEDIUM,toca_abajo,85.4,1.000,21.5,6.0,-58.0,-51.3,6.0,102.6,-76.7,punto adelante de la componente
824,24.745,MEDIUM,toca_abajo,82.7,1.000,33.5,13.6,-46.0,-55.1,13.6,101.0,-73.9,punto adelante de la componente
825,24.775,MEDIUM,toca_abajo,82.7,1.000,33.5,13.6,-46.0,-55.1,13.6,101.0,-73.9,punto adelante de la componente
826,24.805,MEDIUM,toca_abajo,81.2,1.000,41.7,18.2,-37.8,-59.2,18.2,100.8,-72.6,punto adelante de la componente
827,24.835,MEDIUM,toca_abajo,81.1,1.000,42.5,18.3,-37.0,-59.8,18.3,100.8,-72.6,punto adelante de la componente
828,24.865,MEDIUM,toca_abajo,81.1,1.000,42.5,18.3,-37.0,-59.8,18.3,100.8,-72.6,punto adelante de la componente
829,24.895,MEDIUM,toca_abajo,80.8,1.000,42.8,18.9,-36.7,-59.5,18.9,100.8,-72.4,punto adelante de la componente
830,24.925,MEDIUM,toca_abajo,81.2,1.000,41.1,18.2,-38.4,-58.5,18.2,100.8,-72.6,punto adelante de la componente
831,24.955,MEDIUM,toca_abajo,81.2,1.000,41.1,18.2,-38.4,-58.5,18.2,100.8,-72.6,punto adelante de la componente
832,24.985,MEDIUM,toca_abajo,80.9,1.000,40.7,18.7,-38.8,-57.3,18.7,100.8,-72.4,punto adelante de la componente
833,25.015,MEDIUM,toca_abajo,80.0,1.000,43.1,20.9,-36.4,-57.4,20.9,100.7,-71.8,punto adelante de la componente
834,25.045,MEDIUM,toca_abajo,80.5,1.000,40.3,19.3,-39.2,-56.0,19.3,100.7,-72.2,punto adelante de la componente
835,25.075,MEDIUM,toca_abajo,80.5,1.000,40.3,19.3,-39.2,-56.0,19.3,100.7,-72.2,punto adelante de la componente
836,25.105,MEDIUM,toca_abajo,80.5,1.000,40.1,19.3,-39.4,-55.8,19.3,100.7,-72.2,punto adelante de la componente
837,25.135,MEDIUM,toca_abajo,80.5,1.000,40.1,19.3,-39.4,-55.8,19.3,100.7,-72.2,punto adelante de la componente
838,25.165,MEDIUM,toca_abajo,81.2,1.000,36.9,17.3,-42.6,-54.2,17.3,100.7,-72.8,punto adelante de la componente
839,25.195,MEDIUM,toca_abajo,81.8,1.000,33.4,15.5,-46.1,-51.7,15.5,100.8,-73.3,punto adelante de la componente
840,25.225,MEDIUM,toca_abajo,81.8,1.000,33.4,15.5,-46.1,-51.7,15.5,100.8,-73.3,punto adelante de la componente
841,25.255,MEDIUM,toca_abajo,81.4,1.000,33.9,16.3,-45.6,-51.2,16.3,100.7,-73.0,punto adelante de la componente
842,25.285,MEDIUM,toca_abajo,81.6,1.000,32.9,15.7,-46.6,-50.6,15.7,100.7,-73.2,punto adelante de la componente
843,25.315,MEDIUM,toca_abajo,82.0,1.000,30.2,14.3,-49.3,-48.5,14.3,100.7,-73.5,punto adelante de la componente
844,25.345,MEDIUM,toca_abajo,82.0,1.000,30.2,14.3,-49.3,-48.5,14.3,100.7,-73.5,punto adelante de la componente
845,25.375,MEDIUM,toca_abajo,81.2,1.000,31.7,16.1,-47.8,-47.6,16.1,100.6,-73.0,punto adelante de la componente
