source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
0,0.000,HIGH,toca_abajo,62.3,0.935,24.9,26.2,-54.6,5.0,26.2,99.9,-69.4,punto adelante de la componente
1,0.030,HIGH,toca_abajo,-71.4,-1.000,140.3,143.6,60.8,12.6,143.6,100.1,72.8,punto adelante de la componente
2,0.060,HIGH,toca_abajo,-74.8,-1.000,149.2,151.7,69.7,9.9,151.7,100.2,74.7,punto adelante de la componente
3,0.090,HIGH,toca_abajo,-76.8,-1.000,153.2,155.3,73.7,8.3,155.3,100.3,75.4,punto adelante de la componente
4,0.120,HIGH,toca_abajo,-73.5,-1.000,152.6,154.0,73.1,5.5,154.0,100.1,75.1,punto adelante de la componente
5,0.150,HIGH,toca_abajo,-73.0,-1.000,148.5,150.4,69.0,7.7,150.4,100.1,74.4,punto adelante de la componente
6,0.180,HIGH,toca_abajo,-72.0,-1.000,145.9,148.0,66.4,8.2,148.0,100.1,73.8,punto adelante de la componente
7,0.210,HIGH,toca_abajo,-72.0,-1.000,145.9,148.0,66.4,8.2,148.0,100.1,73.8,punto adelante de la componente
8,0.240,HIGH,toca_abajo,-71.3,-1.000,142.3,144.9,62.8,10.2,144.9,100.1,73.1,punto adelante de la componente
9,0.270,HIGH,toca_abajo,-70.4,-1.000,138.9,141.8,59.4,11.2,141.8,100.1,72.3,punto adelante de la componente
10,0.300,HIGH,toca_abajo,-69.7,-1.000,135.4,138.4,55.9,11.7,138.4,100.1,71.3,punto adelante de la componente
11,0.330,HIGH,toca_abajo,-69.7,-1.000,135.4,138.4,55.9,11.7,138.4,100.1,71.3,punto adelante de la componente
12,0.360,HIGH,toca_abajo,-68.4,-1.000,130.7,133.2,51.2,9.6,133.2,100.1,69.7,punto adelante de la componente
13,0.390,HIGH,toca_abajo,-65.3,-0.980,123.0,125.7,43.5,10.3,125.7,100.1,66.7,punto adelante de la componente
14,0.420,HIGH,toca_abajo,-60.0,-0.900,113.0,115.9,33.5,11.5,115.9,100.1,61.4,punto adelante de la componente
15,0.450,HIGH,toca_abajo,-60.0,-0.900,113.0,115.9,33.5,11.5,115.9,100.1,61.4,punto adelante de la componente
16,0.480,HIGH,toca_abajo,-49.3,-0.740,99.8,103.4,20.3,14.0,103.4,100.1,50.2,punto adelante de la componente
17,0.511,HIGH,toca_abajo,-28.8,-0.432,84.6,89.7,5.1,19.5,89.7,100.1,27.1,punto adelante de la componente
