source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
0,0.000,HIGH,toca_abajo,-7.9,-0.118,84.4,84.2,4.9,-1.1,84.2,100.1,13.2,punto adelante de la componente
1,0.030,HIGH,toca_abajo,72.2,1.000,5.9,4.2,-73.6,-6.6,4.2,100.1,-75.2,punto adelante de la componente
2,0.060,HIGH,toca_abajo,70.7,1.000,3.9,2.6,-75.6,-5.2,2.6,100.2,-75.6,punto adelante de la componente
3,0.090,HIGH,toca_abajo,67.2,1.000,2.2,1.5,-77.3,-2.6,1.5,100.0,-75.6,punto adelante de la componente
4,0.120,HIGH,toca_abajo,67.2,1.000,4.3,4.4,-75.2,0.3,4.4,99.8,-75.0,punto adelante de la componente
5,0.150,HIGH,toca_abajo,67.9,1.000,9.8,9.7,-69.7,-0.3,9.7,99.9,-74.0,punto adelante de la componente
6,0.180,HIGH,toca_abajo,67.5,1.000,17.2,17.0,-62.3,-0.8,17.0,100.0,-72.3,punto adelante de la componente
7,0.210,HIGH,toca_abajo,66.9,1.000,23.7,22.5,-55.8,-4.6,22.5,100.0,-70.7,punto adelante de la componente
8,0.240,HIGH,toca_abajo,66.9,1.000,23.7,22.5,-55.8,-4.6,22.5,100.0,-70.7,punto adelante de la componente
9,0.270,HIGH,toca_abajo,64.8,0.972,30.2,30.1,-49.3,-0.3,30.1,100.1,-68.0,punto adelante de la componente
10,0.300,HIGH,toca_abajo,60.0,0.901,39.9,39.4,-39.6,-2.2,39.4,100.1,-63.6,punto adelante de la componente
11,0.330,HIGH,toca_abajo,49.2,0.738,52.7,52.3,-26.8,-1.5,52.3,100.1,-53.8,punto adelante de la componente
12,0.360,HIGH,toca_abajo,49.2,0.738,52.7,52.3,-26.8,-1.5,52.3,100.1,-53.8,punto adelante de la componente
13,0.390,HIGH,toca_abajo,27.7,0.415,68.4,67.0,-11.1,-5.7,67.0,100.1,-32.2,punto adelante de la componente
14,0.420,HIGH,toca_abajo,-8.1,-0.121,84.5,82.1,5.0,-9.3,82.1,100.1,7.4,punto adelante de la componente
15,0.450,HIGH,toca_abajo,-8.1,-0.121,84.5,82.1,5.0,-9.3,82.1,100.1,7.4,punto adelante de la componente
16,0.480,HIGH,toca_abajo,-34.7,-0.521,98.4,94.8,18.9,-13.9,94.8,100.1,37.6,punto adelante de la componente
17,0.511,HIGH,toca_abajo,-40.5,-0.607,102.3,98.5,22.8,-14.7,98.5,100.1,43.6,punto adelante de la componente
18,0.541,HIGH,toca_abajo,-39.9,-0.598,101.5,98.0,22.0,-13.6,98.0,100.1,42.9,punto adelante de la componente
19,0.571,HIGH,toca_abajo,-39.9,-0.598,101.5,98.0,22.0,-13.6,98.0,100.1,42.9,punto adelante de la componente
20,0.601,HIGH,toca_abajo,-40.3,-0.605,102.0,98.5,22.5,-13.6,98.5,100.1,43.7,punto adelante de la componente
21,0.631,HIGH,toca_abajo,-36.2,-0.542,99.0,95.6,19.5,-13.2,95.6,100.1,38.9,punto adelante de la componente
22,0.661,HIGH,toca_abajo,-34.2,-0.514,97.7,94.3,18.2,-13.3,94.3,100.1,36.5,punto adelante de la componente
23,0.691,HIGH,toca_abajo,-34.2,-0.514,97.7,94.3,18.2,-13.3,94.3,100.1,36.5,punto adelante de la componente
24,0.721,HIGH,toca_abajo,-29.4,-0.440,94.7,91.5,15.2,-12.3,91.5,100.1,31.2,punto adelante de la componente
25,0.751,HIGH,toca_abajo,-22.9,-0.344,90.6,87.9,11.1,-10.3,87.9,100.1,23.0,punto adelante de la componente
26,0.781,HIGH,toca_abajo,-22.9,-0.344,90.6,87.9,11.1,-10.3,87.9,100.1,23.0,punto adelante de la componente
27,0.811,HIGH,toca_abajo,-18.4,-0.276,88.0,85.7,8.5,-9.1,85.7,100.1,17.2,punto adelante de la componente
28,0.841,HIGH,toca_abajo,-10.3,-0.155,84.3,82.3,4.8,-8.0,82.3,100.1,8.0,punto adelante de la componente
29,0.871,HIGH,toca_abajo,-10.3,-0.155,84.3,82.3,4.8,-8.0,82.3,100.1,8.0,punto adelante de la componente
30,0.901,HIGH,toca_abajo,3.5,0.052,77.6,76.6,-1.9,-3.8,76.6,100.1,-8.3,punto adelante de la componente
31,0.931,HIGH,toca_abajo,12.1,0.182,72.9,73.1,-6.6,0.9,73.1,100.1,-17.9,punto adelante de la componente
32,0.961,HIGH,toca_abajo,14.5,0.217,70.7,72.0,-8.8,5.1,72.0,100.1,-20.7,punto adelante de la componente
33,0.991,HIGH,toca_abajo,14.5,0.217,70.7,72.0,-8.8,5.1,72.0,100.1,-20.7,punto adelante de la componente
34,1.021,HIGH,toca_abajo,12.5,0.188,70.7,72.9,-8.8,8.4,72.9,100.1,-18.4,punto adelante de la componente
35,1.051,HIGH,toca_abajo,8.0,0.121,72.3,74.8,-7.2,10.0,74.8,100.1,-13.2,punto adelante de la componente
36,1.081,HIGH,toca_abajo,3.9,0.059,73.8,76.8,-5.7,11.6,76.8,100.1,-7.9,punto adelante de la componente
37,1.111,HIGH,toca_abajo,-5.7,-0.086,77.9,80.5,-1.6,10.2,80.5,100.1,3.0,punto adelante de la componente
38,1.141,HIGH,toca_abajo,-5.7,-0.086,77.9,80.5,-1.6,10.2,80.5,100.1,3.0,punto adelante de la componente
39,1.171,HIGH,toca_abajo,-10.6,-0.159,80.7,80.8,1.2,0.2,80.8,100.0,3.6,punto adelante de la componente
40,1.201,HIGH,toca_abajo,-9.4,-0.141,78.0,81.6,-1.5,14.0,81.6,100.1,6.0,punto adelante de la componente
41,1.231,HIGH,toca_abajo,-8.3,-0.125,77.4,81.6,-2.1,16.1,81.6,100.1,5.9,punto adelante de la componente
42,1.261,HIGH,toca_abajo,-5.3,-0.080,76.2,80.4,-3.3,16.4,80.4,100.1,2.7,punto adelante de la componente
43,1.291,HIGH,toca_abajo,-5.3,-0.080,76.2,80.4,-3.3,16.4,80.4,100.1,2.7,punto adelante de la componente
44,1.321,HIGH,toca_abajo,-9.1,-0.137,77.8,81.9,-1.7,15.8,81.9,100.1,6.9,punto adelante de la componente
45,1.351,HIGH,toca_abajo,-5.6,-0.084,76.9,80.7,-2.6,14.8,80.7,100.1,3.4,punto adelante de la componente
46,1.381,HIGH,toca_abajo,-5.6,-0.084,76.9,80.7,-2.6,14.8,80.7,100.1,3.4,punto adelante de la componente
47,1.411,HIGH,toca_abajo,-4.3,-0.065,76.8,80.3,-2.7,13.6,80.3,100.1,2.4,punto adelante de la componente
48,1.441,HIGH,toca_abajo,0.3,0.005,75.5,78.7,-4.0,12.2,78.7,100.1,-2.4,punto adelante de la componente
49,1.471,HIGH,toca_abajo,9.2,0.138,72.2,75.2,-7.3,11.8,75.2,100.1,-12.1,punto adelante de la componente
50,1.502,HIGH,toca_abajo,9.2,0.138,72.2,75.2,-7.3,11.8,75.2,100.1,-12.1,punto adelante de la componente
51,1.532,HIGH,toca_abajo,15.0,0.225,69.9,73.2,-9.6,12.8,73.2,100.1,-17.7,punto adelante de la componente
52,1.562,HIGH,toca_abajo,13.7,0.206,70.9,73.9,-8.6,11.7,73.9,100.1,-15.8,punto adelante de la componente
53,1.592,HIGH,toca_abajo,8.4,0.126,73.6,76.4,-5.9,11.2,76.4,100.1,-8.8,punto adelante de la componente
54,1.622,HIGH,toca_abajo,8.4,0.126,73.6,76.4,-5.9,11.2,76.4,100.1,-8.8,punto adelante de la componente
55,1.652,HIGH,toca_abajo,5.6,0.083,75.5,77.5,-4.0,7.8,77.5,100.1,-5.7,punto adelante de la componente
56,1.682,HIGH,toca_abajo,2.5,0.037,77.6,79.5,-1.9,7.7,79.5,100.1,0.1,punto adelante de la componente
57,1.712,HIGH,toca_abajo,2.5,0.037,77.6,79.5,-1.9,7.7,79.5,100.1,0.1,punto adelante de la componente
58,1.742,HIGH,toca_abajo,-0.7,-0.010,82.3,83.6,2.8,5.1,83.6,100.1,11.7,punto adelante de la componente
59,1.772,HIGH,toca_abajo,7.6,0.114,83.6,84.4,4.1,3.2,84.4,100.1,13.9,punto adelante de la componente
60,1.802,HIGH,toca_abajo,7.4,0.111,86.6,87.2,7.1,2.3,87.2,100.1,21.2,punto adelante de la componente
61,1.832,HIGH,toca_abajo,7.4,0.111,86.6,87.2,7.1,2.3,87.2,100.1,21.2,punto adelante de la componente
62,1.862,HIGH,toca_abajo,5.5,0.083,90.1,90.7,10.6,2.1,90.7,100.1,29.3,punto adelante de la componente
63,1.892,HIGH,toca_abajo,-1.4,-0.021,96.5,97.1,17.0,2.3,97.1,100.1,41.5,punto adelante de la componente
64,1.922,HIGH,toca_abajo,-1.4,-0.021,96.5,97.1,17.0,2.3,97.1,100.1,41.5,punto adelante de la componente
65,1.952,HIGH,toca_abajo,-7.5,-0.112,102.8,103.0,23.3,0.6,103.0,100.1,49.7,punto adelante de la componente
66,1.982,HIGH,toca_abajo,-8.2,-0.123,108.7,104.9,29.2,-14.2,104.9,99.7,51.4,punto adelante de la componente
67,2.012,HIGH,toca_abajo,-7.8,-0.117,114.3,98.0,34.8,-47.0,98.0,99.4,42.0,punto adelante de la componente
