source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
0,0.000,SIN_CERCA,mas_grande,47.8,0.600,,,,,,,0.0,memoria
1,0.030,PERDIDA,sin_componente,0.0,0.000,,,,,,,0.0,sin objetivo
2,0.060,SIN_CERCA,mas_grande,45.4,0.600,,,,,,,0.0,memoria
3,0.090,SIN_CERCA,mas_grande,45.4,0.600,,,,,,,0.0,memoria
4,0.120,SIN_CERCA,mas_grande,45.3,0.600,,,,,,,0.0,memoria
5,0.150,SIN_CERCA,mas_grande,46.0,0.600,,,,,,,0.0,memoria
6,0.180,SIN_CERCA,mas_grande,46.0,0.600,,,,,,,0.0,memoria
7,0.210,SIN_CERCA,mas_grande,45.7,0.600,,,,,,,0.0,memoria
8,0.240,SIN_CERCA,mas_grande,45.6,0.600,,,,,,,0.0,memoria
9,0.270,SIN_CERCA,mas_grande,45.6,0.600,,,,,,,0.0,memoria
10,0.300,SIN_CERCA,mas_grande,45.1,0.600,,,,,,,0.0,memoria
11,0.330,SIN_CERCA,mas_grande,45.7,0.600,,,,,,,0.0,memoria
12,0.360,SIN_CERCA,mas_grande,45.7,0.600,,,,,,,0.0,memoria
13,0.390,PERDIDA,sin_componente,0.0,0.000,,,,,,,0.0,sin objetivo
14,0.420,PERDIDA,sin_componente,0.0,0.000,,,,,,,0.0,sin objetivo
15,0.450,PERDIDA,sin_componente,0.0,0.000,,,,,,,0.0,sin objetivo
16,0.480,SIN_CERCA,mas_grande,-50.0,-0.600,,,,,,,0.0,memoria
17,0.511,HIGH,toca_abajo,-64.2,-0.963,140.1,133.3,60.6,-25.1,133.3,100.1,69.7,punto adelante de la componente
18,0.541,HIGH,toca_abajo,19.7,0.295,76.4,72.2,-3.1,-16.6,72.2,100.1,-20.2,punto adelante de la componente
19,0.571,HIGH,toca_abajo,64.5,0.968,30.2,26.4,-49.3,-14.6,26.4,100.1,-69.4,punto adelante de la componente
20,0.601,HIGH,toca_abajo,64.5,0.968,30.2,26.4,-49.3,-14.6,26.4,100.1,-69.4,punto adelante de la componente
21,0.631,HIGH,toca_abajo,66.2,0.992,18.9,17.0,-60.6,-7.7,17.0,100.0,-72.3,punto adelante de la componente
22,0.661,HIGH,toca_abajo,65.3,0.979,17.3,16.8,-62.2,-2.0,16.8,99.9,-72.3,punto adelante de la componente
23,0.691,HIGH,toca_abajo,64.1,0.962,20.4,21.3,-59.1,3.8,21.3,100.1,-71.1,punto adelante de la componente
24,0.721,HIGH,toca_abajo,64.1,0.962,20.4,21.3,-59.1,3.8,21.3,100.1,-71.1,punto adelante de la componente
25,0.751,HIGH,toca_abajo,61.8,0.927,25.9,29.5,-53.6,13.8,29.5,100.1,-68.3,punto adelante de la componente
26,0.781,HIGH,toca_abajo,59.5,0.892,30.2,33.6,-49.3,13.0,33.6,100.0,-66.5,punto adelante de la componente
27,0.811,HIGH,toca_abajo,59.5,0.892,30.2,33.6,-49.3,13.0,33.6,100.0,-66.5,punto adelante de la componente
28,0.841,HIGH,toca_abajo,56.0,0.839,35.6,38.7,-43.9,12.1,38.7,100.1,-64.0,punto adelante de la componente
29,0.871,HIGH,toca_abajo,48.5,0.727,44.7,47.2,-34.8,9.5,47.2,100.1,-58.4,punto adelante de la componente
