source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
0,0.000,HIGH,toca_abajo,43.9,0.659,55.7,57.3,-23.8,6.2,57.3,100.1,-48.1,punto adelante de la componente
1,0.050,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
2,0.100,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
3,0.150,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
4,0.200,HIGH,toca_abajo,43.9,0.659,55.7,57.3,-23.8,6.2,57.3,100.1,-48.1,punto adelante de la componente
5,0.250,HIGH,toca_abajo,43.9,0.659,55.7,57.3,-23.8,6.2,57.3,100.1,-48.1,punto adelante de la componente
6,0.300,HIGH,toca_abajo,43.9,0.659,55.7,57.3,-23.8,6.2,57.3,100.1,-48.1,punto adelante de la componente
7,0.350,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
8,0.400,HIGH,toca_abajo,43.9,0.659,55.7,57.3,-23.8,6.2,57.3,100.1,-48.1,punto adelante de la componente
9,0.450,HIGH,toca_abajo,43.9,0.659,55.7,57.3,-23.8,6.2,57.3,100.1,-48.1,punto adelante de la componente
10,0.500,HIGH,toca_abajo,43.9,0.659,55.7,57.3,-23.8,6.2,57.3,100.1,-48.1,punto adelante de la componente
11,0.550,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
12,0.600,HIGH,toca_abajo,43.9,0.659,55.7,57.3,-23.8,6.2,57.3,100.1,-48.1,punto adelante de la componente
13,0.650,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
14,0.700,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
15,0.750,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
16,0.800,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
17,0.850,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
18,0.900,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
19,0.950,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
20,1.000,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
21,1.050,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
22,1.100,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
23,1.150,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
24,1.200,HIGH,toca_abajo,43.9,0.659,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
25,1.250,HIGH,toca_abajo,44.0,0.660,55.7,57.4,-23.8,6.4,57.4,100.1,-48.1,punto adelante de la componente
26,1.300,HIGH,toca_abajo,43.9,0.659,55.8,57.4,-23.7,6.2,57.4,100.1,-48.1,punto adelante de la componente
27,1.350,HIGH,toca_abajo,43.9,0.659,55.8,57.4,-23.7,6.2,57.4,100.1,-48.1,punto adelante de la componente
28,1.400,HIGH,toca_abajo,43.9,0.659,55.8,57.4,-23.7,6.3,57.4,100.1,-48.0,punto adelante de la componente
29,1.450,HIGH,toca_abajo,43.9,0.659,55.8,57.4,-23.7,6.2,57.4,100.1,-48.1,punto adelante de la componente
30,1.500,HIGH,toca_abajo,43.9,0.659,55.8,57.4,-23.7,6.2,57.4,100.1,-48.1,punto adelante de la componente
31,1.550,HIGH,toca_abajo,43.9,0.659,55.8,57.3,-23.7,6.0,57.3,100.1,-48.1,punto adelante de la componente
32,1.600,HIGH,toca_abajo,43.9,0.659,55.8,57.4,-23.7,6.0,57.4,100.1,-48.1,punto adelante de la componente
33,1.650,HIGH,toca_abajo,43.9,0.659,55.8,57.4,-23.7,6.2,57.4,100.1,-48.1,punto adelante de la componente
34,1.700,HIGH,toca_abajo,43.9,0.658,55.8,57.4,-23.7,6.2,57.4,100.1,-48.0,punto adelante de la componente
35,1.750,HIGH,toca_abajo,43.9,0.658,55.8,57.4,-23.7,6.0,57.4,100.1,-48.1,punto adelante de la componente
36,1.800,HIGH,toca_abajo,43.9,0.659,55.8,57.3,-23.7,6.0,57.3,100.1,-48.1,punto adelante de la componente
37,1.850,HIGH,toca_abajo,43.9,0.659,55.8,57.4,-23.7,6.2,57.4,100.1,-48.1,punto adelante de la componente
38,1.900,HIGH,toca_abajo,43.9,0.659,55.8,57.4,-23.7,6.2,57.4,100.1,-48.1,punto adelante de la componente
39,1.950,HIGH,toca_abajo,43.9,0.659,55.8,57.4,-23.7,6.0,57.4,100.1,-48.1,punto adelante de la componente
40,2.000,HIGH,toca_abajo,43.9,0.659,55.8,57.4,-23.7,6.0,57.4,100.1,-48.1,punto adelante de la componente
41,2.050,HIGH,toca_abajo,43.9,0.658,55.8,57.4,-23.7,6.0,57.4,100.1,-48.1,punto adelante de la componente
42,2.100,HIGH,toca_abajo,43.9,0.658,55.9,57.3,-23.6,5.8,57.3,100.1,-48.1,punto adelante de la componente
43,2.150,HIGH,toca_abajo,43.9,0.658,55.9,57.4,-23.6,6.0,57.4,100.1,-48.0,punto adelante de la componente
44,2.200,HIGH,toca_abajo,43.9,0.658,55.8,57.4,-23.7,6.0,57.4,100.1,-48.1,punto adelante de la componente
45,2.250,HIGH,toca_abajo,43.9,0.658,55.8,57.4,-23.7,6.1,57.4,100.1,-48.0,punto adelante de la componente
46,2.300,HIGH,toca_abajo,43.9,0.658,55.9,57.4,-23.6,6.1,57.4,100.1,-48.0,punto adelante de la componente
47,2.350,HIGH,toca_abajo,43.9,0.658,55.8,57.4,-23.7,6.0,57.4,100.1,-48.1,punto adelante de la componente
48,2.400,HIGH,toca_abajo,43.5,0.652,56.0,57.6,-23.5,6.2,57.6,100.1,-47.7,punto adelante de la componente
