# nota=pista, ruedas abajo, corrida completa, 2026-08-22
# RescueBot IITA - diagnostico de reaccion de motores
# hz=200 ticks_vuelta=540 fix_lazo=0 fix_curva=0 ks=8.00 kv=1.350 piso=0.50 anticoast=20.0 diag_puerto=0 sin_imu=0 lazo=historico commit=1d301ef-s
us,dt,drop,rxsteer,rxspeed,rxage,rxf,rot,ls,rs,ddir,ram,fl_dir,fl_set,fl_rpm,fl_pwm,fl_enc,fl_tog,fl_raw,fr_dir,fr_set,fr_rpm,fr_pwm,fr_enc,fr_tog,fr_raw,bl_dir,bl_set,bl_rpm,bl_pwm,bl_enc,bl_tog,bl_raw,br_dir,br_set,br_rpm,br_pwm,br_enc,br_tog,br_raw,yaw,pit,gx,gy,gz
306011,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
311011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
316011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
321011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
326011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
331011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
336011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
341011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
346011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
351011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
356011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
361011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
366011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
371011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
376011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
381011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
386011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
391011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
396011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
401011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
406011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
411011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
416011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
421011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
426011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
431011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
436011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
441011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
446011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
451011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
456011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
461011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
466011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
471011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
476011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
481011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
486011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
491011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
496011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
501011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
506011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
511011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
516011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
521011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
526011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
531011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
536011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
541011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
546011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
551011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
556011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
561011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
566011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
571011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
576011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
581011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
586011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
591011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
596011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
601011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
606011,5000,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
