# nota=pista, curva que falla, CON FIX_CURVA_CONTINUA, plateado local apagado, 2026-08-22
# hz=200 ticks_vuelta=540 fix_lazo=1 fix_curva=1 ks=8.00 kv=1.350 piso=0.50 anticoast=20.0 diag_puerto=0 sin_imu=0 lazo=nuevo commit=2913b39-s
us,dt,drop,rxsteer,rxspeed,rxage,rxf,rot,ls,rs,ddir,ram,fl_dir,fl_set,fl_rpm,fl_pwm,fl_enc,fl_tog,fl_raw,fr_dir,fr_set,fr_rpm,fr_pwm,fr_enc,fr_tog,fr_raw,bl_dir,bl_set,bl_rpm,bl_pwm,bl_enc,bl_tog,bl_raw,br_dir,br_set,br_rpm,br_pwm,br_enc,br_tog,br_raw,yaw,pit,gx,gy,gz
34671011,5000,4106,388,40,5,1167,412,5,31,0,2,0,5,20,23,2401,0,2919,1,31,30,59,1894,0,2626,0,5,16,20,2348,0,3000,1,31,28,59,1871,0,2585,795,0,5,-26,106
34676011,5000,4106,388,40,10,1167,412,5,31,0,2,0,5,20,23,2402,0,2920,1,31,30,59,1896,0,2628,0,5,16,20,2348,0,3000,1,31,28,59,1872,0,2586,795,0,5,-26,106
34681011,5000,4106,388,40,3,1168,412,5,31,0,2,0,5,20,23,2402,0,2920,1,31,30,59,1897,0,2629,0,5,16,20,2348,0,3000,1,31,28,59,1873,0,2587,795,0,5,-26,106
34686011,5000,4106,388,40,8,1168,412,5,31,0,2,0,5,20,23,2402,0,2920,1,31,30,59,1898,0,2630,0,5,16,20,2348,0,3000,1,31,28,59,1874,0,2588,795,0,5,-26,106
34691011,5000,4106,388,40,13,1168,412,5,31,0,2,0,5,20,23,2403,0,2921,1,31,30,59,1899,0,2631,0,5,16,20,2348,0,3000,1,31,28,59,1875,0,2589,795,0,5,-26,106
34696011,5000,4106,388,40,18,1168,412,5,31,0,2,0,5,20,23,2403,0,2921,1,31,30,59,1900,0,2632,0,5,16,20,2348,0,3000,1,31,28,59,1875,0,2589,795,0,5,-26,106
34701011,5000,4106,388,40,23,1168,412,5,31,0,2,0,5,20,23,2403,0,2921,1,31,30,59,1901,0,2633,0,5,16,20,2348,0,3000,1,31,28,59,1876,0,2590,795,0,5,-26,106
34706011,5000,4106,388,40,3,1170,549,2,28,0,2,1,2,10,20,2402,0,2922,1,28,24,57,1902,0,2634,1,2,7,20,2348,0,3000,1,28,19,58,1877,0,2591,795,0,-26,40,-98
34711011,5000,4106,388,40,8,1170,549,2,28,0,2,1,2,10,20,2402,0,2922,1,28,24,57,1903,0,2635,1,2,7,20,2348,0,3000,1,28,19,58,1878,0,2592,795,0,-26,40,-98
34716011,5000,4106,455,40,2,1171,549,2,28,0,2,1,2,10,20,2402,0,2922,1,28,24,57,1904,0,2636,1,2,7,20,2348,0,3000,1,28,19,58,1879,0,2593,795,0,-26,40,-98
34721011,5000,4106,455,40,7,1171,549,2,28,0,2,1,2,10,20,2402,0,2922,1,28,24,57,1906,0,2638,1,2,7,20,2348,0,3000,1,28,19,58,1880,0,2594,795,0,-26,40,-98
34726011,5000,4106,455,40,12,1171,549,2,28,0,2,1,2,10,20,2402,0,2922,1,28,24,57,1906,0,2638,1,2,7,20,2348,0,3000,1,28,19,58,1880,0,2594,795,0,-26,40,-98
34731011,5000,4106,455,40,3,1172,652,7,26,0,2,1,7,7,20,2402,0,2922,1,26,23,55,1907,0,2639,1,7,5,20,2348,0,3000,1,26,18,59,1881,0,2595,793,0,-43,-18,203
34736011,5000,4106,455,40,2,1173,652,7,26,0,2,1,7,7,20,2402,0,2922,1,26,23,55,1908,0,2640,1,7,5,20,2348,0,3000,1,26,18,59,1882,0,2596,793,0,-43,-18,203
34741011,5000,4106,455,40,7,1173,652,7,26,0,2,1,7,7,20,2402,0,2922,1,26,23,55,1909,0,2641,1,7,5,20,2348,0,3000,1,26,18,59,1883,0,2597,793,0,-43,-18,203
34746011,5000,4106,455,40,12,1173,652,7,26,0,2,1,7,7,20,2402,0,2922,1,26,23,55,1910,0,2642,1,7,5,20,2348,0,3000,1,26,18,59,1884,0,2598,793,0,-43,-18,203
34751011,5000,4106,511,40,5,1174,652,7,26,0,2,1,7,7,20,2402,0,2922,1,26,23,55,1911,0,2643,1,7,5,20,2348,0,3000,1,26,18,59,1885,0,2599,793,0,-43,-18,203
34756011,5000,4106,511,40,10,1174,652,7,26,0,2,1,7,7,20,2402,0,2922,1,26,23,55,1912,0,2644,1,7,5,20,2348,0,3000,1,26,18,59,1885,0,2599,793,0,-43,-18,203
34761011,5000,4106,511,40,3,1175,737,11,25,0,2,1,11,5,23,2401,0,2923,1,25,19,57,1913,0,2645,1,11,3,26,2348,0,3000,1,25,18,60,1886,0,2600,786,0,-27,-29,166
34766011,5000,4106,511,40,8,1175,737,11,25,0,2,1,11,5,23,2401,0,2923,1,25,19,57,1913,0,2645,1,11,3,26,2348,0,3000,1,25,18,60,1887,0,2601,786,0,-27,-29,166
34771011,5000,4106,511,40,1,1176,737,11,25,0,2,1,11,5,23,2401,0,2923,1,25,19,57,1914,0,2646,1,11,3,26,2348,0,3000,1,25,18,60,1888,0,2602,786,0,-27,-29,166
34776011,5000,4106,511,40,6,1176,737,11,25,0,2,1,11,5,23,2401,0,2923,1,25,19,57,1915,0,2647,1,11,3,26,2348,0,3000,1,25,18,60,1888,0,2602,786,0,-27,-29,166
34781011,5000,4106,511,40,11,1176,737,11,25,0,2,1,11,5,23,2401,0,2923,1,25,19,57,1916,0,2648,1,11,3,26,2348,0,3000,1,25,18,60,1889,0,2603,786,0,-27,-29,166
34786011,5000,4106,511,40,16,1176,737,11,25,0,2,1,11,5,23,2401,0,2923,1,25,19,57,1917,0,2649,1,11,3,26,2347,0,3001,1,25,18,60,1890,0,2604,786,0,-27,-29,166
34791011,5000,4106,511,40,21,1176,737,11,25,0,2,1,11,5,23,2401,0,2923,1,25,19,57,1918,0,2650,1,11,3,26,2347,0,3001,1,25,18,60,1891,0,2605,786,0,-27,-29,166
34796011,5000,4106,511,40,5,1177,737,11,25,0,2,1,11,3,27,2401,0,2923,1,25,18,59,1918,0,2650,1,11,1,31,2347,0,3001,1,25,16,64,1891,0,2605,783,0,-5,29,129
34801011,5000,4106,455,40,3,1178,737,11,25,0,2,1,11,3,27,2401,0,2923,1,25,18,59,1919,0,2651,1,11,1,31,2347,0,3001,1,25,16,64,1892,0,2606,783,0,-5,29,129
34806011,5000,4106,455,40,8,1178,737,11,25,0,2,1,11,3,27,2401,0,2923,1,25,18,59,1920,0,2652,1,11,1,31,2347,0,3001,1,25,16,64,1893,0,2607,783,0,-5,29,129
34811011,5000,4106,455,40,13,1178,737,11,25,0,2,1,11,3,27,2401,0,2923,1,25,18,59,1921,0,2653,1,11,1,31,2346,0,3002,1,25,16,64,1894,0,2608,783,0,-5,29,129
34816011,5000,4106,455,40,18,1178,737,11,25,0,2,1,11,3,27,2401,0,2923,1,25,18,59,1922,0,2654,1,11,1,31,2346,0,3002,1,25,16,64,1895,0,2609,783,0,-5,29,129
34821011,5000,4106,455,40,23,1178,737,11,25,0,2,1,11,3,27,2401,0,2923,1,25,18,59,1923,0,2655,1,11,1,31,2346,0,3002,1,25,16,64,1896,0,2610,783,0,-5,29,129
34826011,5000,4106,455,40,28,1178,737,11,25,0,2,1,11,3,27,2401,0,2923,1,25,18,59,1924,0,2656,1,11,1,31,2346,0,3002,1,25,16,64,1897,0,2611,783,0,-5,29,129
34831011,5000,4106,411,40,5,1180,583,4,27,0,2,1,4,3,20,2401,0,2923,1,27,20,65,1925,0,2657,1,4,1,22,2345,0,3003,1,27,19,70,1898,0,2612,776,0,-7,13,155
34836011,5000,4106,411,40,10,1180,583,4,27,0,2,1,4,3,20,2401,0,2923,1,27,20,65,1926,0,2658,1,4,1,22,2345,0,3003,1,27,19,70,1899,0,2613,776,0,-7,13,155
